Registration No,Product Name,Registration No (verified),Holder,Holder Address,Phone No,Manufacturer,Manufacturer Address
MAL20033669AZ,URISPAS 200 TABLET,MAL20033669AZ,DCH AURIGA (MALAYSIA) SDN. BHD.,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, 40300 SHAH ALAM MALAYSIA",03-55417748,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A.,"VIA M CIVITALI, NO.1,20148 MILANO, ITALY"
MAL20033679ARZ,Azclear Action Medicated Lotion,MAL20033679ARZ,EGO PHARM MALAYSIA SDN. BHD.,"1-6, BLOCK A, JAYA ONE, 72A JLN PROF DIRAJA UNGKU AZIZ, 46200 PETALING JAYA MALAYSIA",0379568868,EGO PHARMACEUTICALS PTY. LTD.,"13-31 MALCOLM ROAD, BRAESIDE, VIC 3195, AUSTRALIA"
MAL20033694XRZ,VITAMIN C 500MG ORANGE CHEWABLE,MAL20033694XRZ,21ST CENTURY PRODUCTS SDN. BHD.,"NO. 9, JALAN SS 13/6A 47500 SUBANG JAYA MALAYSIA",03-56325041,21ST CENTURY HEALTHCARE INC,"2119, SOUTH WILSON STREET, TEMPE AZ 85282-2034 UNITED STATES"
MAL20033973AZ,CLARITROX 250 TABLET,MAL20033973AZ,SM PHARMACEUTICALS SDN. BHD.,"LOT 88, SUNGAI PETANI INDUSTRIAL ESTATE, 08000 SUNGAI PETANI MALAYSIA",04-4411801,SM PHARMACEUTICALS SDN. BHD.,LOT 88 SUNGAI PETANI INDUSTRIAL ESTATE 08000 SUNGAI PETANI MALAYSIA
MAL20034002XRZ,VITAMIN C 1000MG ORANGE CHEWABLE,MAL20034002XRZ,21ST CENTURY PRODUCTS SDN. BHD.,"NO. 9, JALAN SS 13/6A 47500 SUBANG JAYA MALAYSIA",03-56325041,21ST CENTURY HEALTHCARE INC,"2119, SOUTH WILSON STREET, TEMPE AZ 85282-2034 UNITED STATES"
MAL20034003XRZ,VITAMIN C 250MG ORANGE CHEWABLE,MAL20034003XRZ,21ST CENTURY PRODUCTS SDN. BHD.,"NO. 9, JALAN SS 13/6A 47500 SUBANG JAYA MALAYSIA",03-56325041,21ST CENTURY HEALTHCARE INC,"2119, SOUTH WILSON STREET, TEMPE AZ 85282-2034 UNITED STATES"
MAL20034184AZ,MEFCID TABLET 500MG,MAL20034184AZ,SM PHARMACEUTICALS SDN. BHD.,"LOT 88, SUNGAI PETANI INDUSTRIAL ESTATE, 08000 SUNGAI PETANI MALAYSIA",04-4411801,SM PHARMACEUTICALS SDN. BHD.,LOT 88 SUNGAI PETANI INDUSTRIAL ESTATE 08000 SUNGAI PETANI MALAYSIA
MAL20034217AZ,CETRIZIN TABLET 10MG,MAL20034217AZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,T.O. CHEMICALS (1979) LTD.,"53 MOO 4, LIEB-KLONG 7 RD.,BUENG KHAM PHROI, LAM LUK KA, PATHUMTHANI 12150 THAILAND"
MAL20034371XC,KORDEL`S EXECUTIVE B TABLET,MAL20034371XC,CAMBERT(M) SDN. BHD.,"8TH FLOOR, WISMA CONSPLANT 1, NO. 2, JALAN SS16/4, 47500 SUBANG JAYA MALAYSIA",03-5638 3660,ECKHART CORPORATION,2410 WEST ZION ROAD SALISBURY MARYLAND 21801 UNITED STATES
MAL20034390XC,KORDEL`S C TIME ACID FREE C 1000MG TABLET,MAL20034390XC,CAMBERT(M) SDN. BHD.,"8TH FLOOR, WISMA CONSPLANT 1, NO. 2, JALAN SS16/4, 47500 SUBANG JAYA MALAYSIA",03-5638 3660,ECKHART CORPORATION,2410 WEST ZION ROAD SALISBURY MARYLAND 21801 UNITED STATES
MAL20034447AZ,LANOLONE TABLET,MAL20034447AZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,Sriprasit Pharma Co. Ltd.,"216 MOO 6 SUANLUANG, KRATHUM BAEN, SAMUT SAKHON 74110 THAILAND"
MAL20034563XZ,'MPI' PYRIDOXINE TABLETS 10MG,MAL20034563XZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL20034570XZ,Flavettes Vitamin C Orange 500mg Sugar Free,MAL20034570XZ,Duopharma Marketing Sdn. Bhd.,"LOT NO. 2,4,6,8 & 10, JALAN P/7, SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL20034609AZ,CLARITROX 500 TABLET,MAL20034609AZ,SM PHARMACEUTICALS SDN. BHD.,"LOT 88, SUNGAI PETANI INDUSTRIAL ESTATE, 08000 SUNGAI PETANI MALAYSIA",04-4411801,SM PHARMACEUTICALS SDN. BHD.,LOT 88 SUNGAI PETANI INDUSTRIAL ESTATE 08000 SUNGAI PETANI MALAYSIA
MAL20034631ACZ,BACTIFLOX-500 LACTAB,MAL20034631ACZ,MEPHARM (MALAYSIA) SDN. BHD.,"NO. 15, JALAN USJ1/19 TAMAN SUBANG PERMAI 47500 SUBANG MALAYSIA",03-56368088,SOFARIMEX-INDUSTRIA QUIMICA E FARMACEUTICA LDA,"AVENIDA DAS INDUSTRIAS, ALTO DE COLARIDE, AGUALVA,2735 CACEM, PORTUGAL"
MAL20034634AZ,CIPROCEP TABLET 250 MG,MAL20034634AZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,T.O. PHARMA CO LTD,"101 SOI LADPRAO 124 (SAWATDIKAN) , LADPRAO ROAD, PHLAPPHLA, WANGTHONGLANG, , BANGKOK 10310 THAILAND"
MAL20034653AZ,LAMOTRIX 100MG TABLET,MAL20034653AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE (FAR EAST) LTD - ORAL FACILITY,"NO. 40, VSIP II STREET 6, VIETNAM-SINGAPORE INDUSTRIAL PARK II, BINH DUONG INDUSTRY-SERVICE-URBAN COMPLEX, HOA PHU WARD, THU DAU MOT CITY, BINH DUONG PROVINCE, VIETNAM"
MAL20034662ACZ,"MIDAZOLAM-HAMELN 1MG/ML INJECTION,5ML",MAL20034662ACZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,Mefar Ilac Sanayii A.S.,"RAMAZANOGLU MAH. ENSAR CAD. NO : 20 KURTKOY / PENDIK, TR 34906 ISTANBUL TURKEY TR 34906 TURKEY"
MAL20034664ACZ,"MIDAZOLAM-HAMELN 5MG/ML INJECTION,1ML",MAL20034664ACZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,Mefar Ilac Sanayii A.S.,"RAMAZANOGLU MAH. ENSAR CAD. NO : 20 KURTKOY / PENDIK, TR 34906 ISTANBUL TURKEY TR 34906 TURKEY"
MAL20034830X,MUCIL 100,MAL20034830X,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,T.O. PHARMA CO LTD,"101 SOI LADPRAO 124 (SAWATDIKAN) , LADPRAO ROAD, PHLAPPHLA, WANGTHONGLANG, , BANGKOK 10310 THAILAND"
MAL20034832X,MUCIL 200,MAL20034832X,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,T.O. PHARMA CO LTD,"101 SOI LADPRAO 124 (SAWATDIKAN) , LADPRAO ROAD, PHLAPPHLA, WANGTHONGLANG, , BANGKOK 10310 THAILAND"
MAL20036016NC,JANIPRO VC2 Capsule,MAL20036016NC,Janipro (M) Sdn Bhd,"NO. 42, JALAN SEKSYEN 1/21, TAMAN KAJANG UTAMA, 43000 KAJANG MALAYSIA",019-3761289,Dong Foong Manufacturing Sdn Bhd,"NO. 40 & 42, JALAN SEKSYEN 1/21, TAMAN KAJANG UTAMA, 43000 KAJANG MALAYSIA"
MAL20040058AZ,KETOBID SHAMPOO,MAL20040058AZ,SM PHARMACEUTICALS SDN. BHD.,"LOT 88, SUNGAI PETANI INDUSTRIAL ESTATE, 08000 SUNGAI PETANI MALAYSIA",04-4411801,SM PHARMACEUTICALS SDN. BHD.,LOT 88 SUNGAI PETANI INDUSTRIAL ESTATE 08000 SUNGAI PETANI MALAYSIA
MAL20040092AZ,FUKOLE CAPSULE 150MG,MAL20040092AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL20040171XRZ,NEURORUBINE-FORTE FILM-COATED TABLETS,MAL20040171XRZ,MEPHARM (MALAYSIA) SDN. BHD.,"NO. 15, JALAN USJ1/19 TAMAN SUBANG PERMAI 47500 SUBANG MALAYSIA",03-56368088,Acino Pharma AG,BIRSWEG 2 4253 LIESBERG SWITZERLAND
MAL20040192AZ,TRACTOCILE 7.5MG/ML CONCENTRATE FOR SOLUTION FOR INFUSION,MAL20040192AZ,Ferring Sdn. Bhd.,"21-6, BLOCK B JAYA ONE, NO. 72A, JALAN PROFESOR DIRAJA UNGKU AZIZ, 46200 PETALING JAYA MALAYSIA",0379603032,FERRING GMBH,"WITTLAND 11, PO BOX 21 45, D-24109 KIEL, GERMANY GERMANY"
MAL20040205AZ,ANPRO-LORATADINE TABLET 10MG,MAL20040205AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL20040209AZ,METGYL TABLET 400MG,MAL20040209AZ,SM PHARMACEUTICALS SDN. BHD.,"LOT 88, SUNGAI PETANI INDUSTRIAL ESTATE, 08000 SUNGAI PETANI MALAYSIA",04-4411801,SM PHARMACEUTICALS SDN. BHD.,LOT 88 SUNGAI PETANI INDUSTRIAL ESTATE 08000 SUNGAI PETANI MALAYSIA
MAL20040211AZ,URTIRIZINE TABLETS 10MG,MAL20040211AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL20040212AZ,URTIRIZINE SYRUP 5MG/5ML,MAL20040212AZ,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,"PLOT 14, LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA",04-6434462,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,PLOT 14 LEBUHRAYA KG. JAWA 11900 BAYAN LEPAS MALAYSIA
MAL20040230AZ,ELTHROCIN TABLET 500MG,MAL20040230AZ,SM PHARMACEUTICALS SDN. BHD.,"LOT 88, SUNGAI PETANI INDUSTRIAL ESTATE, 08000 SUNGAI PETANI MALAYSIA",04-4411801,SM PHARMACEUTICALS SDN. BHD.,LOT 88 SUNGAI PETANI INDUSTRIAL ESTATE 08000 SUNGAI PETANI MALAYSIA
MAL20040247XZ,DHACTULOSE SYRUP,MAL20040247XZ,DCH AURIGA (MALAYSIA) SDN. BHD.,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, 40300 SHAH ALAM MALAYSIA",03-55417748,PT Actavis Indonesia,"JL. RAYA BOGOR KM. 28, KELURAHAN PEKAYON, KECAMATAN PASAR REBO, KOTA JAKARTA TIMUR, PROVINSI DKI JAKARTA, INDONESIA"
MAL20040565AZ,MEDOPRAZOLE CAPSULE 20MG,MAL20040565AZ,KOMEDIC SDN BHD,"NO. 4, JALAN PJS 11/14 BANDAR SUNWAY 46150 PETALING JAYA MALAYSIA",603-56344866,MEDOCHEMIE LTD (CENTRAL FACTORY),"1-10 CONSTANTINOUPOLEOS STREET, 3011, LIMASSOL, CYPRUS"
MAL20040570AZ,ENCARDIL TABLET 10MG,MAL20040570AZ,SM PHARMACEUTICALS SDN. BHD.,"LOT 88, SUNGAI PETANI INDUSTRIAL ESTATE, 08000 SUNGAI PETANI MALAYSIA",04-4411801,SM PHARMACEUTICALS SDN. BHD.,LOT 88 SUNGAI PETANI INDUSTRIAL ESTATE 08000 SUNGAI PETANI MALAYSIA
MAL20040625AZ,XETEC TABLET 10MG,MAL20040625AZ,SM PHARMACEUTICALS SDN. BHD.,"LOT 88, SUNGAI PETANI INDUSTRIAL ESTATE, 08000 SUNGAI PETANI MALAYSIA",04-4411801,SM PHARMACEUTICALS SDN. BHD.,LOT 88 SUNGAI PETANI INDUSTRIAL ESTATE 08000 SUNGAI PETANI MALAYSIA
MAL20040626AZ,XETEC ORAL SOLUTION 5MG/5ML,MAL20040626AZ,SM PHARMACEUTICALS SDN. BHD.,"LOT 88, SUNGAI PETANI INDUSTRIAL ESTATE, 08000 SUNGAI PETANI MALAYSIA",04-4411801,SM PHARMACEUTICALS SDN. BHD.,LOT 88 SUNGAI PETANI INDUSTRIAL ESTATE 08000 SUNGAI PETANI MALAYSIA
MAL20040802AZ,LIPOTHIN 200MG CAPSULE,MAL20040802AZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,T.O. CHEMICALS (1979) LTD.,"280 SOI SABAIJAI, SUTHISARNWINIJAI ROAD, SAMSENNOK, HUAY-KWANG, BANGKOK 10310, THAILAND"
MAL20040803ACZ,"MORPHINE-HAMELN 10MG/ML INJECTION,1ML",MAL20040803ACZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,Saneca Pharmaceuticals a.s.,"NITRIANSKA 100, 920 27 HLOHOVEC SLOVAKIA"
MAL20040810AZ,OMELON ENTERIC MICROENCAPSULATED CAPSULE 20MG,MAL20040810AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL20040821AZ,AXCEL OXYMETAZOLINE 0.025% NASAL DROPS,MAL20040821AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL20040824X,DERMAFIN CREAM,MAL20040824X,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL20040832AZ,ERYCIN FILM COATED TABLET 250MG,MAL20040832AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL20040892AZ,AXCEL CETIRIZINE TABLET 10MG,MAL20040892AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL20040893AZ,AXCEL CETIRIZINE SYRUP 5MG/5ML,MAL20040893AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL20040925ACZ,ANTAROL TABLET 20MG,MAL20040925ACZ,IMEKS PHARMA SDN. BHD.,"NO. 5 & 9, JALAN UDANG HARIMAU 2 MEDAN NIAGA KEPONG 51200 KUALA LUMPUR MALAYSIA",0362418080,GoodScience Sdn. Bhd.,"NO. 7, JALAN KPK 4/3 KAWASAN PERINDUSTRIAN KUNDANG KUNDANG JAYA 48020 RAWANG MALAYSIA"
MAL20040950AZ,GLUCOMET TABLET 500MG,MAL20040950AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL20040963AZ,DURATOCIN RTS 100mcg/ml,MAL20040963AZ,Ferring Sdn. Bhd.,"21-6, BLOCK B JAYA ONE, NO. 72A, JALAN PROFESOR DIRAJA UNGKU AZIZ, 46200 PETALING JAYA MALAYSIA",0379603032,FERRING GMBH,"WITTLAND 11, PO BOX 21 45, D-24109 KIEL, GERMANY GERMANY"
MAL20041001AZ,B-MYCIN CREAM,MAL20041001AZ,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL20041064X,SHINE GLUCOSAMINE CAPSULE,MAL20041064X,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13, KAWASAN PERINDUSTRIAN BANDAR BARU BANGI, 43000 KAJANG MALAYSIA",03-89251215,Y.S.P. INDUSTRIES (M) SDN. BHD.,"LOT 3, 5, 7, 12 & 14, JALAN P/7, SECTION 13 KAWASAN PERINDUSTRIAN BANDAR BARU BANGI 43000 KAJANG MALAYSIA"
MAL20041071AZ,INZOLAM 0.25MG TABLET,MAL20041071AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL20041160AZ,LEXAPRO 10 MG TABLET,MAL20041160AZ,Lundbeck Malaysia Sdn. Bhd.,"A-05-01, OASIS SQUARE, JALAN PJU 1A/7A, ARA DAMANSARA, 47301 PETALING JAYA MALAYSIA",03-7831 3060,H. LUNDBECK A/S,OTTILIAVEJ 9 DK - 2500 VALBY DENMARK
MAL20041162AZ,LEXAPRO 20 MG TABLET,MAL20041162AZ,Lundbeck Malaysia Sdn. Bhd.,"A-05-01, OASIS SQUARE, JALAN PJU 1A/7A, ARA DAMANSARA, 47301 PETALING JAYA MALAYSIA",03-7831 3060,H. LUNDBECK A/S,OTTILIAVEJ 9 DK - 2500 VALBY DENMARK
MAL20041207AZ,NISOL INJECTION (10ML VIAL),MAL20041207AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL20041268AZ,N/A,N/A,N/A,N/A,N/A,PT. SIMEX PHARMACEUTICAL INDONESIA,"JL. PELABUHAN II KM. 9 PASIR MALANG CISAAT - SUKABUMI JAWA BARAT, INDONESIA"
MAL20041269AZ,N/A,N/A,N/A,N/A,N/A,PT. SIMEX PHARMACEUTICAL INDONESIA,"JL. PELABUHAN II KM. 9 PASIR MALANG CISAAT - SUKABUMI JAWA BARAT, INDONESIA"
MAL20046096ACZ,REKOVELLE 36 mcg/1.08 mL solution for injection in pre-filled pen,MAL20046096ACZ,Ferring Sdn. Bhd.,"21-6, BLOCK B JAYA ONE, NO. 72A, JALAN PROFESOR DIRAJA UNGKU AZIZ, 46200 PETALING JAYA MALAYSIA",0379603032,FERRING GMBH,"WITTLAND 11, PO BOX 21 45, D-24109 KIEL, GERMANY GERMANY"
MAL20046097ACZ,REKOVELLE 72 mcg/2.16 mL solution for injection in pre-filled pen,MAL20046097ACZ,Ferring Sdn. Bhd.,"21-6, BLOCK B JAYA ONE, NO. 72A, JALAN PROFESOR DIRAJA UNGKU AZIZ, 46200 PETALING JAYA MALAYSIA",0379603032,FERRING GMBH,"WITTLAND 11, PO BOX 21 45, D-24109 KIEL, GERMANY GERMANY"
MAL20046103ACRZ,Cebrotonin 800mg film-coated tablets,MAL20046103ACRZ,DCH AURIGA (MALAYSIA) SDN. BHD.,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, 40300 SHAH ALAM MALAYSIA",03-55417748,Artesan Pharma GmbH & Co. KG,"WENDLANDSTRABE 1, 29439 LUCHOW, GERMANY"
MAL20046110AZ,Axcel Azithromycin-500mg Tablet,MAL20046110AZ,KOTRA PHARMA (M) SDN. BHD.,"NO. 1,2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE, 75250 CHENG MALAYSIA",06-3362222,KOTRA PHARMA (M) SDN. BHD.,"NO. 1, 2 & 3, JALAN TTC 12 CHENG INDUSTRIAL ESTATE 75250 MALAYSIA"
MAL20046120AZ,Crystorvas Tablet 40mg,MAL20046120AZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2, 4, 6, 8 & 10, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL20046121AZ,Crystorvas Tablet 20mg,MAL20046121AZ,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2, 4, 6, 8 & 10, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA",03-89242188,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,"LOT NO. 2 & 4, JALAN P/7 SECTION 13, BANGI INDUSTRIAL ESTATE 43650 BANDAR BARU BANGI MALAYSIA"
MAL20046124ACZ,Vignocaine 2% w/v Viscous Solution,MAL20046124ACZ,PHARM-D SDN. BHD.,"8B, JALAN 1/137C BEDFORD BUSINESS PARK OFF JALAN KELANG LAMA 58000 KUALA LUMPUR MALAYSIA",0377707918,WINWA MEDICAL SDN. BHD.,"1952, LORONG I.K.S. BUKIT MINYAK 3 TAMAN I.K.S. BUKIT MINYAK 14000 BUKIT MERTAJAM MALAYSIA"
MAL20046133X,Alsoft A Hand Disinfectant 0.2% w/v,MAL20046133X,Goodmaid Chemicals Corp. Sdn. Bhd.,"LOT 27B, LORONG BUNGA TANJUNG 3/1, SENAWANG INDUSTRIAL PARK, 70400 SEREMBAN MALAYSIA",06-6771337,Goodmaid Chemicals Corp. Sdn. Bhd.,"LOT 27B, LORONG BUNGA TANJUNG 3/1 SENAWANG INDUSTRIAL PARK 70400 SEREMBAN MALAYSIA"
MAL20046137X,Three Legs Septyc-Kare Antiseptic Spray 1%w/v,MAL20046137X,SYARIKAT WEN KEN DRUG SDN. BHD.,"NO. 24, JALAN LAMBAK, TAMAN JOHOR 81200 JOHOR BAHRU MALAYSIA",072371115,SYARIKAT WEN KEN DRUG SDN. BHD.,"NO. 24, JALAN LAMBAK TAMAN JOHOR 81200 JOHOR BAHRU MALAYSIA"
MAL20051326AZ,CARDIAMED INJECTION 1MG/1ML,MAL20051326AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL20051348AZ,PENATONE INJECTION 4MG/ML (2ML AMPOULE),MAL20051348AZ,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59 KAWASAN 3, TAMAN KLANG JAYA 41200 KLANG MALAYSIA",603-33232759,DUOPHARMA (M) SENDIRIAN BERHAD,"LOT 2599, JALAN SERULING 59, KAWASAN 3, TAMAN KLANG JAYA, 41200 KLANG MALAYSIA"
MAL20051379AZ,DHASEDYL DM SYRUP,MAL20051379AZ,DCH AURIGA (MALAYSIA) SDN. BHD.,"LOT 6, PERSIARAN PERUSAHAAN, SEKSYEN 23, 40300 SHAH ALAM MALAYSIA",03-55417748,PT Actavis Indonesia,"JL. RAYA BOGOR KM. 28, KELURAHAN PEKAYON, KECAMATAN PASAR REBO, KOTA JAKARTA TIMUR, PROVINSI DKI JAKARTA, INDONESIA"
