Russian,English
"?????????? ??? ????????????? ????????? ??? ????????????? ???????? 0,5 ??, 10 ??? - ?????? (5) /? ????????? ? ?????????????: ?????? ??????? ??????? 0.9% (??????) 1 ??-5 ??. ? ????? ?????????/ - ????? ?????????","lyophilisate for the preparation of a suspension for intradermal administration 0.5 mg, 10 doses - ampoules (5) /complete with solvent: sodium chloride solution 0.9% (ampoules) 1 ml - 5 pcs. and an ampoule knife/ - cardboard packs"
"??????? ??? ???????? 30 ??/??, 1 ?? - ?????? (5) /? ????? ????????? ??? ?????????????? ?? ?????????????/ - ???????? ????????? ????????? (1) - ????? ?????????","injection solution 30 mg/ml, 1 ml - ampoules (5) /with an ampoule knife or scarifier as needed/ - blister packs (1) - cardboard packs"
"??????? ??? ???????? 30 ??/??, 2 ?? - ?????? (5) /? ????? ????????? ??? ?????????????? ?? ?????????????/ - ???????? ????????? ????????? (2) - ????? ?????????","injection solution 30 mg/ml, 2 ml - ampoules (5) /with an ampoule knife or scarifier as needed/ - blister packs (2) - cardboard packs"
"??????? ??? ???????? 10 ??/??, 1 ?? - ?????? (5) /? ????? ????????? ??? ?????????????? ?? ?????????????/ - ???????? ????????? ????????? (1) - ????? ?????????","injection solution 10 mg/ml, 1 ml - ampoules (5) /with an ampoule knife or scarifier as needed/ - blister packs (1) - cardboard packs"
"??????? ??? ???????? 10 ??/??, 2 ?? - ?????? (5) /? ????? ????????? ??? ?????????????? ?? ?????????????/ - ???????? ????????? ????????? (1) - ????? ?????????","injection solution 10 mg/ml, 2 ml - ampoules (5) /with an ampoule knife or scarifier as needed/ - blister packs (1) - cardboard packs"
"??????? ??? ????????, 10 ??/??, 2 ?? - ?????? (5) / ? ????????? ? ????? ????????? ??? ??????????????, ???? ????????? ??? ????? ??????? ???? / - ???????? ????????? ????????? (1) - ????? ?????????","injection solution, 10 mg/ml, 2 ml - ampoules (5) / complete with an ampoule knife or scarifier, if necessary for this type of ampoules / - blister packs (1) - cardboard packs"
"??????? ??? ????????, 30 ??/??, 1 ?? - ?????? (5) / ? ????????? ? ????? ????????? ??? ??????????????, ???? ????????? ??? ????? ??????? ???? / - ???????? ????????? ????????? (1) - ????? ?????????","injection solution, 30 mg/ml, 1 ml - ampoules (5) / complete with an ampoule knife or scarifier, if necessary for this type of ampoules / - blister packs (1) - cardboard packs"
"??????? ??? ????????, 10 ??/??, 1 ?? - ?????? (5) / ? ????????? ? ????? ????????? ??? ??????????????, ???? ????????? ??? ????? ??????? ???? / - ???????? ????????? ????????? (1) - ????? ?????????","injection solution, 10 mg/ml, 1 ml - ampoules (5) / complete with an ampoule knife or scarifier, if necessary for this type of ampoules / - blister packs (1) - cardboard packs"
"??????? ??? ????????, 30 ??/??, 2 ?? - ?????? (5) / ? ????????? ? ????? ????????? ??? ??????????????, ???? ????????? ??? ????? ??????? ???? / - ???????? ????????? ????????? (2) - ????? ?????????","injection solution, 30 mg/ml, 2 ml - ampoules (5) / complete with an ampoule knife or scarifier, if necessary for this type of ampoules / - blister packs (2) - cardboard packs"
"??????? ??? ????????, 30 ??/??, 2 ?? - ?????? (5) / ? ????????? ? ????? ????????? ??? ??????????????, ???? ????????? ??? ????? ??????? ???? / - ???????? ????????? ????????? (1) - ????? ?????????","injection solution, 30 mg/ml, 2 ml - ampoules (5) / complete with an ampoule knife or scarifier, if necessary for this type of ampoules / - blister packs (1) - cardboard packs"
"???????? ???????? ????????? ?????????, 500 ??, 25 ??. - ???????? (2) - ????? ?????????","film-coated tablets, 500 mg, 25 pcs. - blisters (2) - cardboard packs"
"????????? ??? ???????????????? ????????, 80 ??/??, 1.5 ?? - ??????? (1) - ????? ?????????","suspension for endotracheal administration, 80 mg/ml, 1.5 ml - vials (1) - cardboard packs"
"?????????? ??? ????????????? ????????? ??? ??????????????? ????????, 25 ??, - ?????? (10) / ? ????????? ?? ?????????????? ????????? / - ????? ?????????","lyophilisate for the preparation of a suspension for intravesical administration, 25 mg, - ampoules (10) / complete with an ampoule scarifier / - cardboard packs"
"?????????? ??? ????????????? ????????? ??? ??????????????? ????????, 8-15 ???/??, 50 ?? - ??????? (2) - ????? ?????????","lyophilisate for the preparation of a suspension for intravesical administration, 8-15 million/mg, 50 mg - vials (2) - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ???????, 20 ??/??, 5 ?? - ?????? (1) - ????? ?????????","concentrate for the preparation of solution for infusion, 20 mg/ml, 5 ml - bottle (1) - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ???????, 20 ??/??, 15 ?? - ?????? (1) - ????? ?????????","concentrate for the preparation of solution for infusion, 20 mg/ml, 15 ml - bottle (1) - cardboard packs"
"??????? ??? ???????? 30 ??/??, 1 ?? - ?????? (5) /? ???. ????????? ??? ??????. ?? ?????????./ - ???????? ????????? ????????? - ????? ?????????","injection solution 30 mg/ml, 1 ml - ampoules (5) /with ampoule knife or scarifier as needed/ - blister packs - cardboard packs"
"??????? ??? ???????? 30 ??/??, 2 ?? - ?????? (5) /? ???. ????????? ??? ??????. ?? ?????????./ - ???????? ????????? ????????? - ????? ?????????","injection solution 30 mg/ml, 2 ml - ampoules (5) /with ampoule knife or scarifier as needed/ - blister packs - cardboard packs"
"??????? ??? ???????? 30 ??/??, 2 ?? - ?????? (5) /? ???.????????? ??? ??????. ?? ?????????./ - ???????? ????????? ????????? (2) - ????? ?????????","injection solution 30 mg/ml, 2 ml - ampoules (5) /with ampoule knife or scarifier as needed/ - blister packs (2) - cardboard packs"
"??????? ??? ???????? 10 ??/??, 1 ?? - ?????? (5) /? ???.????????? ??? ??????. ?? ?????????./ - ???????? ????????? ????????? - ????? ?????????","injection solution 10 mg/ml, 1 ml - ampoules (5) /with ampoule knife or scarifier as needed/ - blister packs - cardboard packs"
"??????? ??? ???????? 10 ??/??, 2 ?? - ?????? (5) /? ???.????????? ??? ??????. ?? ?????????./ - ???????? ????????? ????????? - ????? ?????????","injection solution 10 mg/ml, 2 ml - ampoules (5) /with ampoule knife or scarifier as needed/ - blister packs - cardboard packs"
"??????? ??? ???????? 30 ??/??, 1 ?? - ?????? (5) /? ???.????????? ??? ??????. ?? ?????????./ - ???????? ????????? ????????? - ????? ?????????","injection solution 30 mg/ml, 1 ml - ampoules (5) /with ampoule knife or scarifier as needed/ - blister packs - cardboard packs"
"??????? ??? ???????? 30 ??/??, 2 ?? - ?????? (5) /? ???.????????? ??? ??????. ?? ?????????./ - ???????? ????????? ????????? - ????? ?????????","injection solution 30 mg/ml, 2 ml - ampoules (5) /with ampoule knife or scarifier as needed/ - blister packs - cardboard packs"
"???????? ??? ????????? ?????????? 0,1%, 30 ? - ??????? - ????? ?????????","emulsion for external use 0.1%, 30 g - bottles - cardboard packs"
"???? ??? ????????? ?????????? 0,1% 30 ? - ???? - ????? ?????????",cream for external use 0.1% 30 g - tubes - cardboard packs
"??????? 50 ??, 15 ??. - ???????? ????????? ????????? (2) - ????? ?????????","50 mg capsules, 15 pcs. - blister packs (2) - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ??????????????? ? ?????????? ???????? 100 000 ??, ??????? ?? 100 000 ??; 5 ???????? ? ????????? ????????? ???????? - ????? ?????????","lyophilisate for the preparation of a solution for intramuscular and subcutaneous administration of 100,000 IU, vials of 100,000 IU; 5 vials in a cassette strip packaging - cardboard pack"
"???????????? ??????????? 100 ??, 3 ??. - ???????? ????????????? ????????? (2) - ????? ?????????","Vaginal suppositories 100 mg, 3 pcs. - cell-less blister packs (2) - cardboard packs"
"???????????? ??????????? 100 ??, 3 ??. - ???????? ????????????? ????????? - ????? ?????????","Vaginal suppositories 100 mg, 3 pcs. - cell-less blister packs - cardboard packs"
"????? ??? ?????? ??????, 300 ??/?? 100 ?? - ?????? ??????????? ?????? ?????? ? ?????????? ??????????? (1) - ????? ?????????","drops for oral administration, 300 mg/ml 100 ml - brown glass bottle with a dosing device (1) - cardboard pack"
"????? ??? ?????? ??????, 300 ??/?? 100 ?? - ??????-?????????? ??????? ?????? (1) - ????? ?????????","Drops for oral administration, 300 mg/ml 100 ml - dark glass dropper bottle (1) - cardboard pack"
"???? ????????????????? 0.5 ??, 3 ? - ?????? ??????????? ?????????????? - ???????? ????????? ??????????? (???????) /? ????????? ? ????????? ??????????/ - ????? ?????????","Intracervical gel 0.5 mg, 3 g - disposable polyethylene syringes - plastic contour packaging (trays) /complete with a sterile catheter/ - cardboard packs"
"??????? ??? ????????? ???????????? 0.2 ??/????, 100 ??? - ?????????? ?????????? ""??????????"" - ????? ?????????","Dosed inhalation powder 0.2 mg/dose, 100 doses - ""Turbuhaler"" metered-dose inhalers - cardboard packs"
?????????? ??? ????????????? ???????? ??? ??????????????? ? ?????????? ???????? 500 ???.?? - ??????? (5) - ????? ?????????,lyophilisate for the preparation of a solution for intramuscular and subcutaneous administration 500 thousand IU - vials (5) - cardboard packs
"?????????? ??? ????????????? ???????? ??? ??????? 20 ??/??, 15 ?? - ??????? ??????? ????????????? - ????? ?????????","Concentrate for the preparation of infusion solution 20 mg/ml, 15 ml - dark polypropylene bottles - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ??????? 20 ??/??, 2 ?? - ??????? ??????? ????????????? - ????? ?????????","Concentrate for the preparation of solution for infusion 20 mg/ml, 2 ml - dark polypropylene vials - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ??????? 20 ??/??, 5 ?? - ??????? ??????? ????????????? - ????? ?????????","Concentrate for the preparation of infusion solution 20 mg/ml, 5 ml - dark polypropylene vials - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ??????? 20 ??/??, 2 ?? - ??????? ??????? ?????? - ???????? ????????? ????????? - ????? ?????????","Concentrate for the preparation of solution for infusion 20 mg/ml, 2 ml - dark glass vials - blister packs - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ??????? 20 ??/??, 5 ?? - ??????? ??????? ?????? - ???????? ????????? ????????? - ????? ?????????","Concentrate for the preparation of solution for infusion 20 mg/ml, 5 ml - dark glass vials - blister packs - cardboard packs"
"??????? ??? ???????? 76%, 20 ?? - ?????? ??????? ?????? (5) - ?????????????? /? ????????? ? ????? ?????????/ - ????? ?????????","injection solution 76%, 20 ml - dark glass ampoules (5) - thermal container /complete with ampoule knife/ - cardboard packs"
"???????? 16 ??, 10 ??. - ???????? ????????? ????????? (5) - ????? ?????????","16 mg tablets, 10 pcs. - blister packs (5) - cardboard packs"
"???????? 32 ??, 20 ??. - ??????? ??????? ?????? - ????? ?????????","32 mg tablets, 20 pcs. - dark glass bottles - cardboard packs"
"???????? 4 ??, 30 ??. - ??????? ??????? ?????? - ????? ?????????","4 mg tablets, 30 pcs. - dark glass bottles - cardboard packs"
"????? 1 ??, 25 ??. - ???????? ????????? ????????? - ????? ?????????","1 mg dragees, 25 pcs. - blister packs - cardboard packs"
"????? 2.5 ??, 25 ??. - ???????? ????????? ????????? - ????? ?????????","2.5 mg dragees, 25 pcs. - blister packs - cardboard packs"
"???????? ???????? ????????? ????????? 10 ??, 25 ??. - ???????? ????????? ????????? (2) - ????? ?????????","Film-coated tablets 10 mg, 25 pcs. - blister packs (2) - cardboard packs"
"????????, ???????? ????????? 10 ??, 25 ??. - ???????? ????????? ????????? (2) - ????? ?????????","film-coated tablets 10 mg, 25 pcs. - blister packs (2) - cardboard packs"
"??????? ??? ??????? 0.9%, 500 ?? - ??????? ?????????????? (10) - ??????? ?????????","0.9% infusion solution, 500 ml - polyethylene bottles (10) - cardboard boxes"
"???????? ??? ????????????? ???????? 10 ??/??, 50 ?? - ???????","emulsion for intravenous administration 10 mg/ml, 50 ml - vials"
"???????? ??? ????????????? ???????? 20 ??/??, 50 ?? - ???????","emulsion for intravenous administration 20 mg/ml, 50 ml - vials"
"??????? ??? ???????, 1 ??., 500 ?? - ??????? (10) - ??????? ?????????","Infusion solution, 1 pc., 500 ml - bottles (10) - cardboard boxes"
"??????? ??? ???????, 2 ? - ?????????? ??????????? ????????? - ?????? ??????????? (5) /1 ??????: ??????? ????????? ? ????????????? (1200 ??); 2 ??????: ??????? ??????????? ? ????????????? (800 ??)/ - ??????? ?????????","Infusion solution, 2 l - double plastic containers - plastic bags (5) /1 chamber: dextrose solution with electrolytes (1200 ml); 2 chamber: amino acid solution with electrolytes (800 ml)/ - cardboard boxes"
"??????? ??? ???????, 1 ? - ?????????? ??????????? ????????? - ?????? ??????????? (5) /1 ??????: ??????? ????????? ? ????????????? (600 ??); 2 ??????: ??????? ??????????? ? ????????????? (400 ??)/ - ??????? ?????????","Infusion solution, 1 l - double plastic containers - plastic bags (5) /1 chamber: dextrose solution with electrolytes (600 ml); 2 chamber: amino acid solution with electrolytes (400 ml)/ - cardboard boxes"
"??????? ??? ???????, 1.5 ? - ?????????? ??????????? ????????? - ?????? ??????????? (5) /1 ??????: ??????? ??????????? ? ????????????? (750 ??); 2 ??????: ??????? ????????? (750 ??)/ - ??????? ?????????","Infusion solution, 1.5 l - double plastic containers - plastic bags (5) /1 chamber: amino acid solution with electrolytes (750 ml); 2 chamber: dextrose solution (750 ml)/ - cardboard boxes"
"???????? ??? ???????, 1.25 ? - ?????????? ??????????? ????????? - ?????? ??????????? (5) - ??????? ?????????","Emulsion for infusion, 1.25 l - plastic containers, three-piece - plastic bags (5) - cardboard boxes"
"???????? ??? ???????, 1.875 ? - ?????????? ??????????? ????????? - ?????? ??????????? (5) - ??????? ?????????","Emulsion for infusion, 1.875 l - plastic containers, three-piece - plastic bags (5) - cardboard boxes"
"??????? ??? ??????? 5%, 500 ?? - ??????? ?????????????? (10) - ??????? ?????????","5% infusion solution, 500 ml - polyethylene bottles (10) - cardboard boxes"
"??????? ??? ????????????? ? ?????????? ???????? 5 ???.??/??, 5 ?? - ??????? (10) - ??????? ?????????","solution for intravenous and subcutaneous administration 5 thousand IU/ml, 5 ml - vials (10) - cardboard boxes"
"??????? ??? ??????? 6%, 250 ?? - ?????????? ??????????? - ?????? ??????????? (20) - ??????? ?????????","6% infusion solution, 250 ml - plastic containers - plastic bags (20) - cardboard boxes"
"??????? ??? ??????? 6%, 500 ?? - ??????? ?????????????? (10) - ??????? ?????????","6% infusion solution, 500 ml - polyethylene bottles (10) - cardboard boxes"
"??????? ??? ??????? 4%, 500 ?? - ??????? ?????????????? (10) - ??????? ?????????","4% infusion solution, 500 ml - polyethylene bottles (10) - cardboard boxes"
"???????? ??? ??????? 200 ??/??, 250 ?? - ??????? (10) - ??????? ?????????","emulsion for infusion 200 mg/ml, 250 ml - bottles (10) - cardboard boxes"
"???????? ??? ??????? 20%, 250 ??, ??????? (10) - ??????? ?????????","emulsion for infusion 20%, 250 ml, bottles (10) - cardboard boxes"
"???????? ??? ??????? 20%, 500 ?? - ??????? (10) - ??????? ?????????","emulsion for infusion 20%, 500 ml - bottles (10) - cardboard boxes"
"???? ??? ????????? ?????????? 0.1%, 30 ? - ???? ??????????? - ????? ?????????","Ointment for external use 0.1%, 30 g - plastic tubes - cardboard packs"
"???? ??? ????????? ?????????? 0.03%, 30 ? - ???? ??????????? - ????? ?????????","Ointment for external use 0.03%, 30 g - plastic tubes - cardboard packs"
"???? ??? ????????? ??????????, 0.03%, 30 ? - ???? (1) - ????? ?????????","ointment for external use, 0.03%, 30 g - tubes (1) - cardboard packs"
"???? ??? ????????? ??????????, 0.1%, 30 ? - ???? (1) - ????? ?????????","ointment for external use, 0.1%, 30 g - tubes (1) - cardboard packs"
"???????? ???????? ????????? ?????????, 20 ??, 21 ??. - ???????? (3) - ????? ?????????","film-coated tablets, 20 mg, 21 pcs. - blisters (3) - cardboard packs"
"??????? ??? ???????, , 1500 ?? - ?????????? ??????????? ????????? (5) / 1 ??????: ??????? ??????????? ? ????????????? (750 ??); 2 ??????: ??????? ??????? (750 ??) / - ??????? ????????? (??? ???????????)","Infusion solution, 1500 ml - double plastic containers (5) / 1 chamber: amino acid solution with electrolytes (750 ml); 2 chamber: glucose solution (750 ml) / - cardboard boxes (for hospitals)"
"??????? ??? ???????, , 2 ? - ?????????? ??????????? ????????? (1) - ?????? ??????????? (5) /1 ??????: ??????? ????????? ? ????????????? (1200 ??); 2 ??????: ??????? ??????????? ? ????????????? (800 ??)/ - ??????? ?????????","Infusion solution, 2 l - double plastic containers (1) - plastic bags (5) /1 chamber: dextrose solution with electrolytes (1200 ml); 2 chamber: amino acid solution with electrolytes (800 ml)/ - cardboard boxes"
"???????? ??? ???????, 625 ?? - ?????????? ??????????? ????????? - ?????? ??????????? (5) - ??????? ?????????","Emulsion for infusion, 625 ml - plastic containers, three-piece - plastic bags (5) - cardboard boxes"
"???? ??? ????????? ?????????? 0.03 %, 30 ? - ???? (1) - ????? ?????????","ointment for external use 0.03%, 30 g - tubes (1) - cardboard packs"
"???? ??? ????????? ?????????? 0.1%, 30 ? - ???? (1) - ????? ?????????","ointment for external use 0.1%, 30 g - tubes (1) - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ??????? 40 ??/??, 10 ?? - ?????? (20) - ????? ?????????","concentrate for the preparation of solution for infusion 40 mg/ml, 10 ml - ampoules (20) - cardboard packs"
"???????? ???????? ????????? ????????? 300 ??, 30 ??. - ??????? (1) - ????? ?????????","film-coated tablets 300 mg, 30 pcs. - vials (1) - cardboard packs"
"??????? ??? ???????, 500 ?? - ??????? (10) - ??????? ?????????","Infusion solution, 500 ml - bottles (10) - cardboard boxes"
"??????? ??? ???????, 1000 ?? - ??????? (10) - ??????? ?????????","Infusion solution, 1000 ml - bottles (10) - cardboard boxes"
"??????? 75 ??, 10 ??. - ???????? ????????? ????????? (1) - ????? ?????????","75 mg capsules, 10 pcs. - blister packs (1) - cardboard packs"
"??????? 75 ??, 10 ??. - ???????? ????????? ????????? - ????? ?????????","75 mg capsules, 10 pcs. - blister packs - cardboard packs"
"???????, 75 ??, 10 ??. - ??????? (1) - ????? ?????????","capsules, 75 mg, 10 pcs. - blister (1) - cardboard packs"
"???????, 75 ??, 10 ??. - ???????? ????????? ????????? (1) - ????? ?????????","capsules, 75 mg, 10 pcs. - blister packs (1) - cardboard packs"
"??????? 75 ??, 10 ??. -???????? ????????? ????????? (1) - ????? ?????????","75 mg capsules, 10 pcs. - blister packs (1) - cardboard packs"
"??????? 75 ??, 10 ??. - ??????? (1) - ????? ?????????","75 mg capsules, 10 pcs. - blister (1) - cardboard packs"
"??????? ??? ????????????? ???????? 1 ??/??, 5 ?? - ?????? (5) - ????? ?????????","solution for intravenous administration 1 mg/ml, 5 ml - ampoules (5) - cardboard packs"
"??????? ??? ??????????????? ???????? 30 ??/??, 1 ?? - ?????? (10) - ???????? ????????? ??????????? (???????) - ????? ?????????","solution for intramuscular injection 30 mg/ml, 1 ml - ampoules (10) - plastic strip packaging (trays) - cardboard packs"
"???????? ???????? ????????? 10 ??, 10 ??. - ???????? ????????? ????????? [??.??????/???/????????] - ????? ?????????","Film-coated tablets 10 mg, 10 pcs. - blister packs [al. foil/PVC/polyamide] - cardboard packs"
"???????? ???????? ????????? 10 ??, 10 ??. - ???????? ????????? ????????? [??.??????/???/????????] (10) - ????? ?????????","film-coated tablets 10 mg, 10 pcs. - blister packs [al. foil/PVC/polyamide] (10) - cardboard packs"
"???????? ???????? ????????? 10 ??, 10 ??. - ???????? ????????? ????????? [??.??????/???] - ????? ?????????","Film-coated tablets 10 mg, 10 pcs. - blister packs [alumina foil/PVC] - cardboard packs"
"???????? ???????? ????????? 10 ??, 10 ??. - ???????? ????????? ????????? [??.??????/???] (10) - ????? ?????????","film-coated tablets 10 mg, 10 pcs. - blister packs [al. foil/PVC] (10) - cardboard packs"
"??????? ??? ??????????????? ???????? 30 ??/??, 1 ?? - ?????? (10) - ????? ?????????","solution for intramuscular injection 30 mg/ml, 1 ml - ampoules (10) - cardboard packs"
"????????? ??? ?????? ?????? 240 ??|5 ??, 100 ?? - ??????? ??????? ?????? /? ????????? ? ?????? ??????/ - ????? ?????????","Oral suspension 240 mg | 5 ml, 100 ml - dark glass bottles / complete with a measuring spoon / - cardboard packs"
"???????? ???????? ????????? ?????????, 20 ??. - ???????? ????????? ????????? (5) - ?????? ?? ??????????? ?????? ?????????????? - ????? ?????????","Film-coated tablets, 20 pcs. - blister packs (5) - laminated aluminum foil bags - cardboard packs"
"???????? ???????? ????????? 10 ??, 50 ??. - ?????????? ???????????","Film-coated tablets 10 mg, 50 pcs. - plastic containers"
"???????? ???????? ????????? 2 ??, 50 ??. - ?????????? ???????????","2 mg film-coated tablets, 50 pcs. - plastic containers"
"???????? ???????? ????????? 25 ??, 50 ??. - ?????????? ???????????","Film-coated tablets 25 mg, 50 pcs. - plastic containers"
"????????? ??? ?????? ?????? [??????????] 100 ??|5 ??, 100 ?? - ??????? ??????????????????????? /? ????????? ? ??????? ??????????/ - ????? ?????????","Oral suspension [strawberry] 100 mg|5 ml, 100 ml - polyethylene terephthalate bottles /complete with a dosing syringe/ - cardboard packs"
?????????? ??? ????????????? ???????? ??? ??????? 500 ?? - ??????? 10 ?? - ????? ?????????,Lyophilisate for the preparation of solution for infusion 500 mg - 10 ml vials - cardboard packs
"???????? ??? ????????? ?????????? 20%, 10 ?? - ???????? ??????????????","emulsion for external use 20%, 10 kg - polyethylene canisters"
"???????? ??? ????????? ?????????? 20%, 100 ? - ??????? - ????? ?????????","emulsion for external use 20%, 100 g - bottles - cardboard packs"
"???????? ??? ????????? ?????????? 20%, 200 ? - ??????? - ????? ?????????","emulsion for external use 20%, 200 g - bottles - cardboard packs"
"???????? ??? ????????? ?????????? 20%, 50 ? - ??????? - ????? ?????????","emulsion for external use 20%, 50 g - bottles - cardboard packs"
?????????? ??? ????????????? ???????? ??? ??????? 500 ??.,lyophilisate for the preparation of solution for infusions 500 mg.
?????????? ??? ????????????? ???????? ??? ??????? 500 ?? - ??????? - ????? ?????????,Lyophilisate for the preparation of solution for infusion 500 mg - vials - cardboard packs
"?????????? ??? ????????????? ???????? ??? ????????????? ? ???????????????? ???????? 2 ??/??, 5 ?? - ??????? - ????? ?????????","concentrate for the preparation of a solution for intravenous and intracavitary administration 2 mg/ml, 5 ml - vials - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ????????????? ? ???????????????? ???????? 2 ??/??, 50 ?? - ??????? - ????? ?????????","concentrate for the preparation of a solution for intravenous and intracavitary administration 2 mg/ml, 50 ml - vials - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ????????????? ? ???????????????? ???????? 2 ??/??, 25 ?? - ??????? - ????? ?????????","concentrate for the preparation of a solution for intravenous and intracavitary administration 2 mg/ml, 25 ml - vials - cardboard packs"
?????????? ??? ????????????? ???????? ??? ??????????????? ???????? (? ????????? ? ?????????????) 30 ??? (6 ??? ??) – ???????? [(??????? 3 ?? ?1+?????? 1 ?? ?1+????? ?1+???? ?2) ?4+???????? ??????????????? ?8] ? 1,lyophilisate for the preparation of a solution for intramuscular injection (complete with solvent) 30 mcg (6 million IU) - set [(3 ml vials No. 1 + 1 ml ampoules No. 1 + syringe No. 1 + needles No. 2) No. 4 + antiseptic wipes No. 8] No. 1
?????????? ??? ????????????? ???????? ??? ?????????? ???????? 0.1 ?? - ??????? (7) - ???????? ????????? ??????????? (???????) /? ????????? ? ????????????? (??????) 1 ??-7 ??./ - ????? ?????????,lyophilisate for the preparation of a solution for subcutaneous administration 0.1 mg - vials (7) - plastic contour packaging (trays) / complete with solvent (ampoules) 1 ml - 7 pcs./ - cardboard packs
"?????????? ??? ????????????? ????????? ??? ??????????????? ???????? ????????????????? ???????? 11.25 ?? - ??????? ??????? ?????? - ???????? ????????? ????????? /? ????????? ? ?????????????: ????????? ??????? (??????) 2 ??, ??????? ??????????? ? ??????-2 ?","lyophilisate for the preparation of a prolonged-release suspension for intramuscular administration 11.25 mg - dark glass vials - blister packs / complete with solvent: mannitol solution (ampoules) 2 ml, disposable syringe and 2 needles"
"?????????? ??? ????????????? ????????? ??? ??????????????? ???????? ????????????????? ???????? 3.75 ?? - ??????? /? ????????? ? ?????????????: ????????? ??????? 0.8% (??????) 2 ??, ??????? ??????????? ? ????? ??? ????????-2 ??./ - ????? ?????????","lyophilisate for the preparation of a prolonged-release suspension for intramuscular injection 3.75 mg - vials /complete with solvent: mannitol solution 0.8% (ampoules) 2 ml, disposable syringe and injection needle - 2 pcs./ - cardboard packs"
"???????? ???????? ????????? 10 ??, 10 ??. - ???????? (2) - ????? ?????????","film-coated tablets 10 mg, 10 pcs. - blisters (2) - cardboard packs"
"???????? ??????????? 60 ???, 10 ??. - ???????? (3) - ????? ?????????","Sublingual tablets 60 mcg, 10 pcs. - blisters (3) - cardboard packs"
"???????? ??????????? 120 ???, 10 ??. - ???????? (3) - ????? ?????????","Sublingual tablets 120 mcg, 10 pcs. - blisters (3) - cardboard packs"
"????? ??????? 0.3%, 5 ?? - ??????-?????????? ?????????????? - ????? ?????????","Eye drops 0.3%, 5 ml - polyethylene dropper bottles - cardboard packs"
"???????? ???????? ????????? 25 ??, 20 ??. - ???????? (3) - ????? ?????????","film-coated tablets 25 mg, 20 pcs. - blisters (3) - cardboard packs"
"???????? ???????? ????????? 10 ??, 30 ??. - ???????? (2) - ????? ?????????","film-coated tablets 10 mg, 30 pcs. - blisters (2) - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ????????????????? ? ??????????????? ????????, 2 ??/??, 50 ?? - ??????? (1) - ??????? ?????????","concentrate for the preparation of a solution for intravascular and intravesical administration, 2 mg/ml, 50 ml - vials (1) - cardboard boxes"
"?????????? ??? ????????????? ???????? ??? ????????????????? ? ??????????????? ????????, 2 ??/??, 5 ?? - ??????? (1) - ??????? ?????????","concentrate for the preparation of a solution for intravascular and intravesical administration, 2 mg/ml, 5 ml - vials (1) - cardboard boxes"
"?????????? ??? ????????????? ???????? ??? ????????????????? ? ??????????????? ????????, 2 ??/??, 25 ?? - ??????? (1) - ??????? ?????????","concentrate for the preparation of a solution for intravascular and intravesical administration, 2 mg/ml, 25 ml - vials (1) - cardboard boxes"
"???????? ??? ????????? ??????????, 20%, 200 ? - ??????? (1) - ????? ?????????","emulsion for external use, 20%, 200 g - bottles (1) - cardboard packs"
"??????? ??? ????????????? ????????, 100 ???/??, 1 ?? - ??????? (5) - ????? ?????????","solution for intravenous administration, 100 mcg/ml, 1 ml - vials (5) - cardboard packs"
"?????????? ??? ????????????? ???????? ??? ??????????????? ????????, 30 ???/?? (6 ???. ??/??), - ??????? (4) / ? ????????? ? ????????????? (??????) 1 ??-4 ??, ??????????? ?????? ??????-4 ??., ????-8 ??., ???????? ???????????????-8 ??. / - ????? ?????????","lyophilisate for the preparation of a solution for intramuscular injection, 30 mcg/ml (6 million IU/ml), - vials (4) / complete with solvent (ampoules) 1 ml - 4 pcs, disposable empty syringes - 4 pcs, needles - 8 pcs, antiseptic wipes - 8 pcs. / - cardboard packs"
"?????????? ??? ????????????? ????????? ??? ??????????????? ????????, , 1 ???? - ??????? (1) / ? ????????? ? ?????????? ??? ??????????????? ???????? (??????) 0.5 ??-1 ??. [? ???????????? ????? ??? ? ????????? ? 2 ??????] / - ???????? ????????? ?????????-?","lyophilisate for the preparation of a suspension for intramuscular administration, 1 dose - vials (1) / complete with a suspension for intramuscular administration (syringes) 0.5 ml - 1 pc. [with a fixed needle or complete with 2 needles] / - blister packs"
"????????? ??? ?????? ?????? [????????????], 100 ??|5 ??, 150 ?? - ??????? ??????????????????????? (1) / ? ????????? ? ??????? ?????????? / - ??????? ?????????","Oral suspension [orange], 100 mg|5 ml, 150 ml - polyethylene terephthalate bottles (1) / complete with a dosing syringe / - cardboard boxes"
