MAL19950145AZ,RIVOPAM TABLET 0.5MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19950146AZ,RIVOPAM TABLET 2MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19950156AZ,RAVIMED TABLET 5MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19950160AZ,ACUGESIC TABLET 50MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19950161AZ,ACUGESIC CAPSULE 50MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19950233AZ,TYMIDIN TABLET 400MG,SM PHARMACEUTICALS SDN. BHD.
MAL19950272AZ,FLUROCOMB CREAM,SM PHARMACEUTICALS SDN. BHD.
MAL19950273XZ,PARACIL SUSPENSION 120MG/5ML,SM PHARMACEUTICALS SDN. BHD.
MAL19950306X,Three Legs Tinea Skin Solution,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL19950381AZ,"Nyastat Pessary 100,000 IU",SM PHARMACEUTICALS SDN. BHD.
MAL19950394AZ,CIPRAM TABLETS 20MG,Lundbeck Malaysia Sdn. Bhd.
MAL19950395ARZ,SOOV BITE,EGO PHARM MALAYSIA SDN. BHD.
MAL19950414AZ,DIAMITEX TABLET 80MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19950521AZ,METOHEXAL 50 TABLET,IMEKS PHARMA SDN. BHD.
MAL19950522AZ,METOHEXAL 100 TABLET,IMEKS PHARMA SDN. BHD.
MAL19950545XZ,POTRELEASE TR TABLET 600MG,SM PHARMACEUTICALS SDN. BHD.
MAL19950593AZ,SOLBID TABLET 10MG,SM PHARMACEUTICALS SDN. BHD.
MAL19950735AZ,LORAMIDE CAPSULE 2MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19961009XZ,SWECEE CHEWABLE TABLET,SM PHARMACEUTICALS SDN. BHD.
MAL19961011ARZ,DECAPEPTYL 0.1MG INJECTION,Ferring Sdn. Bhd.
MAL19961019XZ,PORO TABLET 500MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19961292ARZ,VAMINOLACT SOLUTION,FRESENIUS KABI MALAYSIA SDN. BHD
MAL19961319AZ,Pharmaniaga Lidocaine Hydrochloride 2% w/v Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL19961320AZ,Pharmaniaga Ephedrine Hydrochloride 30mg/ml Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL19961324AZ,Pharmaniaga Atropine Sulphate 1mg/ml Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL19961330AZ,PHARMANIAGA PETHIDINE HYDROCHLORIDE 50MG/1ML INJECTION,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL19961331AZ,PHARMANIAGA PETHIDINE HYDROCHLORIDE 100MG/2ML INJECTION,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL19961334AZ,Pharmaniaga Sodium Bicarbonate 8.4% w/v Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL19961336AZ,Pharmaniaga Cyanocobalamin 100mcg/ml Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL19961337AZ,Pharmaniaga Cyanocobalamin 1000mcg/ml Injection,PHARMANIAGA LIFESCIENCE SDN. BHD.
MAL19961699AZ,COMAZOLE SUSPENSION,SM PHARMACEUTICALS SDN. BHD.
MAL19961700AZ,RETORIN POWDER FOR SUSPENSION 200MG/5ML,SM PHARMACEUTICALS SDN. BHD.
MAL19961701AZ,TYMIDIN 200,SM PHARMACEUTICALS SDN. BHD.
MAL19962087AZ,INFUSOL NS,AIN MEDICARE SDN. BHD.
MAL19962104AZ,NARPAN TABLET,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19962172XZ,SHINE VITAMIN C-100 (ORANGE FLAVOUR),Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19962526AZ,MEXAN TABLET 80MG,IMEKS PHARMA SDN. BHD.
MAL19962551AZ,COMAZOLE N TABLET,SM PHARMACEUTICALS SDN. BHD.
MAL19962580AZ,UROSIN FILM COATED TABLET 100MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19962581AZ,DERMOSOL CREAM,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19962583AZ,YSP Salbutamol Syrup 2mg/5ml,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19962584AZ,ASUMALIFE SYRUP (1MG/5ML KETOTIFEN),Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19962862AZ,ANALPAN INJECTION 25MG/ML (10ML VIAL),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19962863AZ,ANALPAN INJECTION 75MG/3ML AMP,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19962864AZ,ACUGESIC 100MG INJECTION (2ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19962866AZ,ACUGESIC 50MG INJECTION (1ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19962881XZ,OXY 5 LOTION,ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD.
MAL19962882XZ,OXY 10 LOTION,ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD.
MAL19962883XZ,OXY COVER CREAM,ROHTO-MENTHOLATUM (MALAYSIA) SDN. BHD.
MAL19963164AZ,CEFLOUR INJECTION 0.75G,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19963170AZ,INTAPAN INJECTION 1ML (10MG/ML) AMPOULE,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19970106XZ,THREE LEGS YELLOW LOTION,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL19970235XC,UBAT MINYAK GELIGA,SYARIKAT MYP SDN. BHD.
MAL19970280ARZ,RESOLVE TINEA CREAM,EGO PHARM MALAYSIA SDN. BHD.
MAL19970516AZ,KISAN INJECTION 10MG/ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19970681ARZ,VITALIPID N INFANT,FRESENIUS KABI MALAYSIA SDN. BHD
MAL19970929AZ,SOPRESSOR 80 TABLET,IMEKS PHARMA SDN. BHD.
MAL19970958AZ,PIRIMAT INJECTION (1ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19970959AZ,PIRIMAT INJECTION (10ML VIAL),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19970963AZ,COPAN INJECTION 1ML AMP,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19970964AZ,LARTIL INJECTION 1ML (12.5 MG/ML),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19970979AZ,TIDACT CAPSULE,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19971334XZ,U-MOLIN TABLETS 500MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19971346XZ,CROTOCORT CREAM 10% W/W,SM PHARMACEUTICALS SDN. BHD.
MAL19971379AZ,AXCEL KETOTIFEN SYRUP,KOTRA PHARMA (M) SDN. BHD.
MAL19971835AZ,Borymycin Capsule 100mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19971843AZ,MAVILEX TABLET 0.02MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19971865XZ,VEMIZOL SUSPENSION 200MG/5ML,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19972150AZ,VIRLESS CREAM,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19972152X,SWECON TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19972516AZ,DOMPER TABLET 10MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19972517X,Shine Vitamin C-500 Plus Chewable Tablet (Orange Flavour),Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19972530AZ,MAPIN 0.4MG/ML INJECTION (1ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19972531AZ,GASTRIL 50MG/2ML INJECTION (2ML AMPOULE),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19972556X,AXCEL UREA CREAM,KOTRA PHARMA (M) SDN. BHD.
MAL19973001AZ,VIRLESS TABLET 200MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19973008AZ,LAKAN INJECTION 2% (10ML VIAL),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19973009AZ,LAKAN INJECTION 1% (10ML VIAL),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19973311AZ,MEDOSTATIN TABLET 20MG,KOMEDIC SDN BHD
MAL19973312AZ,SELEGOS 5MG TABLET,KOMEDIC SDN BHD
MAL19973342AZ,DEMOTHINE INJECTION 100MG/2ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19973343AZ,DEMOTHINE INJECTION 50MG/ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19973348AZ,ZORAXIN SUSPENSION 200MG/5ML,Duopharma Marketing Sdn. Bhd.
MAL19973349AZ,KISAN INJECTION 1MG/ML (1ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19973628AZ,MEDOVIR CREAM 5% W/W,KOMEDIC SDN BHD
MAL19973681AZ,OPTIMOL EYE DROP 0.5%,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19973688AZ,LOXIN INJECTION (5ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19973689AZ,MORPHEAS INJECTION 10 MG/ ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19973691AZ,DEPOCON INJECTION,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19973697AZ,PONTALON TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19973698AZ,COPASTIN FILM COATED TABLET 10MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19973699AZ,PULIN FILM COATED TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19973702AZ,AXCEL LIGNOCAINE 2% GEL STERILE,KOTRA PHARMA (M) SDN. BHD.
MAL19973717X,Three Legs Tolnaftate Cream 1%w/w,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL19983954X,MINYAK HANGAT AFIAT (LINIMENT),Syarikat Minyak Afiat Sdn Bhd
MAL19983982AZ,RHUMANOL CREAMAGEL,IMEKS PHARMA SDN. BHD.
MAL19984020AZ,SETISIN INJECTION (1ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19984023AZ,MOTIDONE TABLET 10MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19984024AZ,DOMI INJECTION 5MG (5ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19984025AZ,DOMI INJECTION 5MG (1ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19984026AZ,DOMI INJECTION 15MG (3ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19984028AZ,BICAFAR 1G STERILE,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19984031AZ,KANOX 50MG/ML INJECTION (10ML VIAL),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19984034AZ,APALIN 500MG INJECTION (2ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19984125XC,NIXODERM OINTMENT,SUMMIT COMPANY (MALAYSIA) SENDIRIAN BERHAD
MAL19984387AZ,AXCEL DEXCHLORPHENIRAMINE FORTE SYRUP,KOTRA PHARMA (M) SDN. BHD.
MAL19984390AZ,AXCEL CHLORPHENIRAMINE-2 SYRUP,KOTRA PHARMA (M) SDN. BHD.
MAL19984391AZ,AXCEL CHLORPHENIRAMINE-4 SYRUP,KOTRA PHARMA (M) SDN. BHD.
MAL19984397AZ,YSP ANTIFUNGAL VAGINAL TABLET 100MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19984398AZ,PARAS TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19984399AZ,CEPHALEXIN GRANULES FOR ORAL SUSPENSION ‘MPI’ 250mg/5ml,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19984856XZ,APPETON ACTIV-C (ORANGE) TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19984857XZ,APPETON ESSENTIALS ACTIV-C 250 (ORANGE),KOTRA PHARMA (M) SDN. BHD.
MAL19985171AZ,AKOSET INJECTION 2ML AMP,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19985172AZ,ANIKEF STERILE 750MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19985174AZ,TALGESIL INJECTION 0.1MG/2ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19985177AZ,MANACE INJECTION (1ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19985178AZ,VOTMINE INJECTION 10ML VIAL (50MG/ML),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19985184AZ,CEPHALEXIN TABLETS `�MPI`� 500MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19985187AZ,NORGAN TABLET 400MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19985188AZ,HADOL-5 TABLETS,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19985513AZ,VERAHEXAL 120 SR TABLET,IMEKS PHARMA SDN. BHD.
MAL19985532AZ,AXCEL FUNGICORT CREAM,KOTRA PHARMA (M) SDN. BHD.
MAL19985538AZ,NEGATIL TABLET 50MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19985539AZ,NEGATIL TABLET 200MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19985554AZ,DUOGYNON INJECTION (1ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19985556AZ,MALON INJECTION 2ML AMP,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19985559AZ,VOREN SUPPOSITORY 25MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19985560AZ,VOREN SUPPOSITORIES 50MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19985561AZ,PEACE SYRUP,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19985903ACZ,TRAMADOLOR 50 CAPSULE,IMEKS PHARMA SDN. BHD.
MAL19985960AZ,"YSP Nystatin Capsule 500,000 units",Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19985962AZ,YSP HYDROCORT CREAM 1% W/W,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19985963AZ,APUZIN TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19985966AZ,UDOXAN INJECTION (1ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19985971AZ,GARASENT 80MG INJ (2ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19986084T,ARNICA COMP GEL,BIO-PHARMACEUTICALS SDN. BHD.
MAL19986450AZ,OLFEN-100 SR DEPOCAPS,MEPHARM (MALAYSIA) SDN. BHD.
MAL19986498AZ,YUCOMY TABLET 200MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19986499AZ,SHINTAMET FILM COATED TABLET 200MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19986501AZ,VIRLESS TABLET 800MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19986502XZ,CASPRIN ENTERIC-MICROENCAPSULATED CAPSULE,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19986556XC,TIGER & STORK BRAND MEDICATED OIL,WENG HARNG ENTERPRISE
MAL19986961ACZ,ACIC 800 TABLET,IMEKS PHARMA SDN. BHD.
MAL19986995AZ,ACIPAN INJECTION 1MG/ML (1ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19987004AZ,VOREN SUPPOSITORIES 12.5MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19987336ACSZ,SALOFALK 500MG GASTRO-RESISTANT TABLETS,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL19987355AZ,ISORADIN CREAM,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19987356AZ,BUCANIL SYRUP,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19987358XZ,SHINE VITAMIN-B COMPLEX,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19987401X,AXE BRAND HEAT OIL,Leung Kai Fook Medical Sdn. Bhd.
MAL19987983AZ,ASUMALIFE TABLET 1MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19987985AZ,VOREN ENTERIC MICROENCAPSULATED CAPSULE 50MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19988491AZ,KEZORAL CREAM,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19988492AZ,VOREN PLUS GEL,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19988493AZ,GLIX TABLET 5MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19988494AZ,SELADIN TABLET 500MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19988495AZ,SELADIN TABLET 250MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19988555XZ,APPETON ESSENTIALS FOLIC ACID TABLET,KOTRA PHARMA (M) SDN. BHD.
MAL19989027AZ,UROXATE TABLET 100MG,IMEKS PHARMA SDN. BHD.
MAL19989040AZ,YUCOMY CREAM,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19989041XZ,YSP Bisacodyl Suppositories 5 mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19990104AZ,MINISON TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19990107AZ,LOVASTIN TABLET 20MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19990265AZ,VOKER FILM COATED TABLET 20MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19990266AZ,VOKER FILM COATED TABLET 40MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19990579AZ,DOSANAC EMULSION GEL,SPG PHARMA (MALAYSIA) SDN BHD
MAL19990610X,ALUCID TABLET,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19990989AZ,DERM-AID CREAM,EGO PHARM MALAYSIA SDN. BHD.
MAL19991131AZ,VESYCA FILM COATED TABLET 150MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19991140AZ,AXCEL DICYCLOMINE-S SYRUP,KOTRA PHARMA (M) SDN. BHD.
MAL19991202XZ,APPETON ESSENTIALS ACTIV-C 500 (ORANGE),KOTRA PHARMA (M) SDN. BHD.
MAL19991366AZ,FUROXIME INJECTION 750MG,SPG PHARMA (MALAYSIA) SDN BHD
MAL19991434AZ,TRETINON CREAM 0.05%,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19991436AZ,TREN CAPSULE 250MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19991438AZ,PONTALON TABLET 500MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19991440XZ,LACTUL SOLUTION,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19991441XZ,PORO SUPPOSITORY,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19991442XZ,PORO CHEWABLE TABLET 120MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19991446XZ,AXCEL PARACETAMOL-250 SUSPENSION (STRAWBERRY),KOTRA PHARMA (M) SDN. BHD.
MAL19991447XZ,Uphamol 250 Suspension 250mg/5ml (Orange),DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19991448XZ,Uphamol 250 Suspension 250mg/5ml (Fruity),DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL19991509XC,"MAC DUAL ACTION LOZENGES,BLACKCURRANT FLAVOUR",ZIWELL MEDICAL SDN. BHD.
MAL19991893AZ,IBUSPAN TABLET 200MG,SM PHARMACEUTICALS SDN. BHD.
MAL19991894AZ,FUSIX TABLET 40MG,SM PHARMACEUTICALS SDN. BHD.
MAL19991903AZ,AXCEL FLEMIN EXPECTORANT,KOTRA PHARMA (M) SDN. BHD.
MAL19991905AZ,AXCEL FUSIDIC ACID-B CREAM,KOTRA PHARMA (M) SDN. BHD.
MAL19992070AZ,GIPZIDE TABLET 5MG,IMEKS PHARMA SDN. BHD.
MAL19992137AZ,YSP Econazole Nitrate Pessary 150mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19992138AZ,XANAPAM TABLETS 0.5MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19992139AZ,XANAPAM TABLETS 1MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19992203XC,GELIGA AROMA,SYARIKAT MYP SDN. BHD.
MAL19992397AZ,AXCEL FUSIDIC ACID CREAM,KOTRA PHARMA (M) SDN. BHD.
MAL19992398AZ,YSP Allopurinol Tablet 300mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19992399AZ,N/A,N/A
MAL19992587AZ,AXCEL ACYCLOVIR CREAM,KOTRA PHARMA (M) SDN. BHD.
MAL19992588AZ,AXCEL SALBUTAMOL SYRUP,KOTRA PHARMA (M) SDN. BHD.
MAL19992589AZ,CHLOROP EYE OINTMENT 1 %,SM PHARMACEUTICALS SDN. BHD.
MAL19992591AZ,ANPRODROXIL GRANULES FOR ORAL SUSPENSION 125mg/5ml,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19992598AZ,MUCOLEX INJECTION (2ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19992692ACZ,PETHIDINE-HAMELN 50MG/ML SOLUTION FOR INJECTION,IMEKS PHARMA SDN. BHD.
MAL19992765AZ,INFUSOL NSD5,AIN MEDICARE SDN. BHD.
MAL19992766XZ,INFUSOL W,AIN MEDICARE SDN. BHD.
MAL19992768AZ,INFUSOL QSD1,AIN MEDICARE SDN. BHD.
MAL19992771AZ,INFUSOL HS,AIN MEDICARE SDN. BHD.
MAL19992773AZ,INFUSOL D5,AIN MEDICARE SDN. BHD.
MAL19993044AZ,INFUSOL D10,AIN MEDICARE SDN. BHD.
MAL19993045AZ,INFUSOL D20,AIN MEDICARE SDN. BHD.
MAL19993046AZ,INFUSOL HSD5,AIN MEDICARE SDN. BHD.
MAL19993047AZ,INFUSOL HM,AIN MEDICARE SDN. BHD.
MAL19993049AZ,INFUSOL RG,AIN MEDICARE SDN. BHD.
MAL19993051XZ,PORO SUSPENSION 250MG/5ML (STRAWBERRY FLAVOUR),Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19993072AZ,POLYTET EYE OINTMENT,SM PHARMACEUTICALS SDN. BHD.
MAL19993073AZ,ANACAINE INJECTION 2%,SM PHARMACEUTICALS SDN. BHD.
MAL19993074AZ,ANACAINE INJECTION 1%,SM PHARMACEUTICALS SDN. BHD.
MAL19993075AZ,FUSIX INJECTION 20MG/2ML,SM PHARMACEUTICALS SDN. BHD.
MAL19993078AZ,OMILOCK CAPSULE 20MG,SM PHARMACEUTICALS SDN. BHD.
MAL19993079AZ,VIROX TABLET 200MG,SM PHARMACEUTICALS SDN. BHD.
MAL19993080AZ,VIROX TABLET 400MG,SM PHARMACEUTICALS SDN. BHD.
MAL20000038AZ,REGRO 5% LOTION,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL20000068AZ,PRUFEN ORAL SUSPENSION 100mg/5ml,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL20000081AZ,KETO FILM COATED TABLET 10MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20000279AZ,ROXY TABLET 150MG,IMEKS PHARMA SDN. BHD.
MAL20000291AZ,DOSANAC INJECTION,SPG PHARMA (MALAYSIA) SDN BHD
MAL20000292AZ,CAFFOX TABLET,IMEKS PHARMA SDN. BHD.
MAL20000365AZ,AXCEL ERYTHROMYCIN ES-200 SUSPENSION,KOTRA PHARMA (M) SDN. BHD.
MAL20000366AZ,ELTHROCIN TABLET 250MG,SM PHARMACEUTICALS SDN. BHD.
MAL20000367AZ,IMACH INJECTION 10ML,SM PHARMACEUTICALS SDN. BHD.
MAL20000368AZ,IMACH INJECTION 1ML,SM PHARMACEUTICALS SDN. BHD.
MAL20000370AZ,ZOPAM INJECTION 2ML,SM PHARMACEUTICALS SDN. BHD.
MAL20000373AZ,REKAXIME INJECTION 1000MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20000380AZ,INFUSOL M10,AIN MEDICARE SDN. BHD.
MAL20000381AZ,INFUSOL M20,AIN MEDICARE SDN. BHD.
MAL20000738AZ,KETAZON SHAMPOO,SPG PHARMA (MALAYSIA) SDN BHD
MAL20000851AZ,ZOBID INJECTION 3ML,SM PHARMACEUTICALS SDN. BHD.
MAL20000872X,EUKY BEAR BRAND EUCALYPTUS OIL BP,ROSLIND ENTERPRISE (M) SDN. BHD.
MAL20000890XZ,Champs Vitamin C 100mg Sugar Free Strawberry Flavour Chewable Tablet,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20001062XZ,UPHALYTE ORAL REHYDRATION SALTS (ORANGE),DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20001562AZ,ZOBID INJECTION 10ML,SM PHARMACEUTICALS SDN. BHD.
MAL20001570XZ,GLYPRIN TABLET,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20001622XZ,Three Legs Povidone Iodine,SYARIKAT WEN KEN DRUG SDN. BHD.
MAL20001821AZ,METROLEX INJECTION,SPG PHARMA (MALAYSIA) SDN BHD
MAL20001834X,SIMCONE,IMEKS PHARMA SDN. BHD.
MAL20001914XZ,Scabitone Emulsion,SM PHARMACEUTICALS SDN. BHD.
MAL20002268AZ,AXCEL IBUPROFEN PAEDIATRIC SYRUP 100MG/5ML,KOTRA PHARMA (M) SDN. BHD.
MAL20002269AZ,UNOCEF INJECTION 1000MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20002270AZ,UNOCEF INJECTION 500MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20002272AZ,MUSAFEN TABLET 10MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20002288X,Uphaplast Medicated Plaster,Duopharma Marketing Sdn. Bhd.
MAL20002296XRZ,VITAMIN C-1000 PROLONGED RELEASE,21ST CENTURY PRODUCTS SDN. BHD.
MAL20002297XR,21st Century Co Enzyme Q10 60mg Capsule,21ST CENTURY PRODUCTS SDN. BHD.
MAL20012703ARZ,INTAXEL INJECTION,FRESENIUS KABI MALAYSIA SDN. BHD
MAL20012730AZ,DEPROPIN TABLET 25MG,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20012731AZ,BUTAVENT RESPIRATOR SOLUTION,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20012739AZ,AXCEL TRIDINE SYRUP,KOTRA PHARMA (M) SDN. BHD.
MAL20012740AZ,AXCEL DEXTROZINE SYRUP,KOTRA PHARMA (M) SDN. BHD.
MAL20012752XR,CO ENZYME Q10 100MG,21ST CENTURY PRODUCTS SDN. BHD.
MAL20013115AZ,MOBITIL INJECTION 20ML VL,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20013117AZ,INSOPIN 7.5MG TABLET,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20013121AZ,LIBLAN FILM-COATED TABLET,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20013131XZ,CHAMPS D-WORMS 200 MG CHOCOLATE FLAVOUR CHEWABLE TABLET,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20013171XC,21ST CENTURY CHILDREN'S VAPOR BALM,21ST CENTURY PRODUCTS SDN. BHD.
MAL20013175X,Three Legs Wintergreen Liniment,SYARIKAT WEN KEN DRUG SDN. BHD.
