PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description,LOCAL_PACK_CODE,Price Type,Interchangeable,Limited Use,Therapeutic Notes,Currency,Region
,,Auro Pharma Inc.,,TENOFOVIR DISOPROXIL,,5.28,REIMBURSABLE WITH COPAY,4.89,0.39,Auro-Tenofovir 300mg Tab,02460173,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,TENOFOVIR DISOPROXIL,,5.28,REIMBURSABLE WITH COPAY,4.89,0.39,Jamp-Tenofovir 300mg Tab,02479087,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,TENOFOVIR DISOPROXIL,,5.28,REIMBURSABLE WITH COPAY,4.89,0.39,Mint-Tenofovir 300mg Tab,02512939,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Mylan Pharmaceuticals ULC,,TENOFOVIR DISOPROXIL,,5.28,REIMBURSABLE WITH COPAY,4.89,0.39,Mylan-Tenofovir Disoproxil 300mg Tab,02452634,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Natco Pharma (Canada) Inc.,,TENOFOVIR DISOPROXIL,,5.28,REIMBURSABLE WITH COPAY,4.89,0.39,Nat-Tenofovir 300mg Tab,02472511,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,TENOFOVIR DISOPROXIL,,5.28,REIMBURSABLE WITH COPAY,4.89,0.39,PMS-Tenofovir 300mg Tab,02453940,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sanis Health Inc.,,TENOFOVIR DISOPROXIL,,5.28,REIMBURSABLE WITH COPAY,4.89,0.39,Tenofovir 300mg Tab,02512327,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sivem Pharmaceuticals ULC,,TENOFOVIR DISOPROXIL,,5.28,REIMBURSABLE WITH COPAY,4.89,0.39,Tenofovir 300mg Tab,02523922,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,TENOFOVIR DISOPROXIL,,5.28,REIMBURSABLE WITH COPAY,4.89,0.39,Teva-Tenofovir 300mg Tab,02403889,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,"Gilead Sciences Canada, Inc.",,TENOFOVIR DISOPROXIL,,21.12,REIMBURSABLE WITH COPAY,4.89,16.23,Viread 300mg Tab,02247128,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,TERAZOSIN HCL,,1.07,REIMBURSABLE WITH COPAY,0.99,0.08,Apo-Terazosin 10mg Tab,02234505,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,TERAZOSIN HCL,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,Apo-Terazosin 2mg Tab,02234503,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,TERAZOSIN HCL,,0.43,REIMBURSABLE WITH COPAY,0.39,0.03,Apo-Terazosin 1mg Tab,02234502,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,TERAZOSIN HCL,,0.73,REIMBURSABLE WITH COPAY,0.68,0.05,Apo-Terazosin 5mg Tab,02234504,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Abbott Laboratories Limited,,TERAZOSIN HCL,,,NON REIMBURSABLE,,,Hytrin (Not a Benefit) 5mg Tab,00818666,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Abbott Laboratories Limited,,TERAZOSIN HCL,,,NON REIMBURSABLE,,,Hytrin (Not a Benefit) 1mg Tab,00818658,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Abbott Laboratories Limited,,TERAZOSIN HCL,,,NON REIMBURSABLE,,,Hytrin (Not a Benefit) 10mg Tab,00818674,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Abbott Laboratories Limited,,TERAZOSIN HCL,,,NON REIMBURSABLE,,,Hytrin (Not a Benefit) 2mg Tab,00818682,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,TERAZOSIN HCL,,0.54,REIMBURSABLE WITH COPAY,0.50,0.04,PMS-Terazosin 2mg Tab,02243519,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,TERAZOSIN HCL,,1.07,REIMBURSABLE WITH COPAY,0.99,0.08,PMS-Terazosin 10mg Tab,02243521,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,TERAZOSIN HCL,,0.73,REIMBURSABLE WITH COPAY,0.68,0.05,PMS-Terazosin 5mg Tab,02243520,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,TERAZOSIN HCL,,0.43,REIMBURSABLE WITH COPAY,0.39,0.03,PMS-Terazosin 1mg Tab,02243518,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Novartis Pharma Canada Inc.,,TERBINAFINE HCL,,0.71,REIMBURSABLE WITH COPAY,0.66,0.05,Lamisil 1% Cr,02031094,UNIT,NO,NO,YES,CAD,NORTH AMERICA
,,Apotex Inc.,,TERBINAFINE HCL,,0.83,REIMBURSABLE WITH COPAY,0.77,0.06,Apo-Terbinafine 250mg Tab,02239893,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,TERBINAFINE HCL,,0.83,REIMBURSABLE WITH COPAY,0.77,0.06,Auro-Terbinafine 250mg Tab,02320134,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Cobalt Pharmaceuticals Company,,TERBINAFINE HCL,,0.83,REIMBURSABLE WITH COPAY,0.77,0.06,Co Terbinafine 250mg Tab,02254727,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Novartis Pharma Canada Inc.,,TERBINAFINE HCL,,,NON REIMBURSABLE,,,Lamisil (Not a Benefit) 250mg Tab,02031116,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,TERBINAFINE HCL,,0.83,REIMBURSABLE WITH COPAY,0.77,0.06,PMS-Terbinafine 250mg Tab,02294273,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sanis Health Inc.,,TERBINAFINE HCL,,0.83,REIMBURSABLE WITH COPAY,0.77,0.06,Terbinafine 250mg Tab,02353121,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sivem Pharmaceuticals ULC,,TERBINAFINE HCL,,0.83,REIMBURSABLE WITH COPAY,0.77,0.06,Terbinafine 250mg Tab,02385279,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,TERBINAFINE HCL,,0.83,REIMBURSABLE WITH COPAY,0.77,0.06,Teva-Terbinafine 250mg Tab,02240346,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,AstraZeneca,,TERBUTALINE SULFATE,,9.17,REIMBURSABLE WITH COPAY,8.49,0.68,Bricanyl Turbuhaler 0.5mg/Dose Inh-100 Dose Pk,00786616,PACK,NO,NO,NO,CAD,NORTH AMERICA
,,AstraZeneca,,TERBUTALINE SULFATE,,12.22,REIMBURSABLE WITH COPAY,11.32,0.91,Bricanyl Turbuhaler 0.5mg/Dose Inh-120 Dose Pk,09858138,PACK,NO,NO,NO,CAD,NORTH AMERICA
,,Taro Pharmaceuticals Inc.,,TERCONAZOLE,,0.69,REIMBURSABLE WITH COPAY,0.64,0.05,Taro-Terconazole 0.4% Vag Cr,02247651,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Janssen Inc.,,TERCONAZOLE,,,NON REIMBURSABLE,,,Terazol 7 (Not a Benefit) 0.4% Vag Cr,00894729,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Accord Healthcare Inc.,,TERIFLUNOMIDE,,16.12,REIMBURSABLE WITH COPAY,14.93,1.19,Ach-Teriflunomide 14mg Tab,02502933,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,TERIFLUNOMIDE,,16.12,REIMBURSABLE WITH COPAY,14.93,1.19,Apo-Teriflunomide 14mg Tab,02500639,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,"Sanofi Genzyme, a Division of Sanofi-Aventis Canada Inc.",,TERIFLUNOMIDE,,,NON REIMBURSABLE,,,Aubagio (Not a Benefit) 14mg Tab,02416328,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,TERIFLUNOMIDE,,16.12,REIMBURSABLE WITH COPAY,14.93,1.19,Jamp Teriflunomide 14mg Tab,02504170,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Mantra Pharma Inc.,,TERIFLUNOMIDE,,16.12,REIMBURSABLE WITH COPAY,14.93,1.19,M-Teriflunomide 14mg Tab,02523833,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Marcan Pharmaceuticals Inc.,,TERIFLUNOMIDE,,16.12,REIMBURSABLE WITH COPAY,14.93,1.19,Mar-Teriflunomide 14mg Tab,02500469,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Natco Pharma (Canada) Inc.,,TERIFLUNOMIDE,,16.12,REIMBURSABLE WITH COPAY,14.93,1.19,Nat-Teriflunomide 14mg Tab,02500310,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,TERIFLUNOMIDE,,16.12,REIMBURSABLE WITH COPAY,14.93,1.19,PMS-Teriflunomide 14mg Tab,02500434,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,TERIFLUNOMIDE,,16.12,REIMBURSABLE WITH COPAY,14.93,1.19,Sandoz Teriflunomide 14mg Tab,02505843,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,TERIFLUNOMIDE,,16.12,REIMBURSABLE WITH COPAY,14.93,1.19,Teva-Teriflunomide 14mg Tab,02501090,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,TERIPARATIDE,,578.31,REIMBURSABLE WITH COPAY,535.47,42.84,Apo-Teriparatide Injection 250mcg/mL Inj Sol-2.4mL Pref Pen,02498804,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Eli Lilly Canada Inc.,,TERIPARATIDE,,1337.95,REIMBURSABLE WITH COPAY,535.47,802.48,Forteo 250mcg/mL Inj Sol-2.4mL Pref Pen,09857535,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,TERIPARATIDE,,578.31,REIMBURSABLE WITH COPAY,535.47,42.84,Teva-Teriparatide Injection 250mcg/mL Inj Sol-2.4mL Pref Pen,02486423,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Avir Pharma Inc.,,TERIPARATIDE,,610.48,REIMBURSABLE WITH COPAY,565.26,45.22,Osnuvo 250mcg/mL Inj Sol-3mL Cart Pk,02495589,PACK,NO,YES,NO,CAD,NORTH AMERICA
,,Solvay Pharma Inc.,,TESTOSTERONE,,2.70,REIMBURSABLE WITH COPAY,1.67,1.02,Androgel 1% 2.5g Foil Packet,02245345,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Taro Pharmaceuticals Inc.,,TESTOSTERONE,,1.81,REIMBURSABLE WITH COPAY,1.67,0.13,Taro-Testosterone Gel 1% 2.5g Foil Packet,02463792,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Solvay Pharma Inc.,,TESTOSTERONE,,4.77,REIMBURSABLE WITH COPAY,2.96,1.81,Androgel 1% 5.0g Foil Packet,02245346,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Taro Pharmaceuticals Inc.,,TESTOSTERONE,,3.19,REIMBURSABLE WITH COPAY,2.96,0.24,Taro-Testosterone Gel 1% 5.0g Foil Packet,02463806,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Paladin Pharma Inc.,,TESTOSTERONE,,4.66,REIMBURSABLE WITH COPAY,4.32,0.35,Testim 1% Top Gel-5g Pk,02280248,PACK,NO,YES,NO,CAD,NORTH AMERICA
,,Pfizer Canada Inc.,,TESTOSTERONE CYPIONATE,,51.98,REIMBURSABLE WITH COPAY,34.88,17.10,Depo-Testosterone 100mg/mL Oily Inj Sol-10mL Pk,00030783,PACK,YES,YES,NO,CAD,NORTH AMERICA
,,Taro Pharmaceuticals Inc.,,TESTOSTERONE CYPIONATE,,37.67,REIMBURSABLE WITH COPAY,34.88,2.79,Taro-Testosterone Cypionate Injection 100mg/mL Oily Inj Sol-10mL Pk,02496003,PACK,YES,YES,NO,CAD,NORTH AMERICA
,,Valeant Canada Ltd.,,TESTOSTERONE ENANTHATE,,,NON REIMBURSABLE,,,Delatestryl (Not a Benefit) 1000mg/5mL Oily Inj Sol-5mL Pk,00029246,PACK,YES,NO,NO,CAD,NORTH AMERICA
,,Hikma Canada Limited,,TESTOSTERONE ENANTHATE,,38.44,REIMBURSABLE WITH COPAY,35.59,2.85,"Testosterone Enanthate Injection, USP 1000mg/5mL Oily Inj Sol-5mL Pk",02536315,PACK,YES,YES,NO,CAD,NORTH AMERICA
,,Organon Canada Ltd./Ltee,,TESTOSTERONE UNDECANOATE,,,NON REIMBURSABLE,,,Andriol (Not a Benefit) 40mg Cap,00782327,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,TESTOSTERONE UNDECANOATE,,0.51,REIMBURSABLE WITH COPAY,0.47,0.04,PMS-Testosterone 40mg Cap,02322498,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Taro Pharmaceuticals Inc.,,TESTOSTERONE UNDECANOATE,,0.51,REIMBURSABLE WITH COPAY,0.47,0.04,Taro-Testosterone 40mg Cap,02421186,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,TETRABENAZINE,,5.24,REIMBURSABLE WITH COPAY,4.86,0.39,Apo-Tetrabenazine (Off-Formulary Interchangeable) 25mg Tab,02407590,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Valeant Canada Ltd.,,TETRABENAZINE,,,NON REIMBURSABLE,,,Nitoman (Off-Formulary Interchangeable) 25mg Tab,02199270,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,TETRABENAZINE,,5.24,REIMBURSABLE WITH COPAY,4.86,0.39,PMS-Tetrabenazine (Off-Formulary Interchangeable) 25mg Tab,02402424,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Sterimax Inc.,,TETRABENAZINE,,5.24,REIMBURSABLE WITH COPAY,4.86,0.39,Tetrabenazine Tablets (Off-Formulary Interchangeable) 25mg Tab,02410338,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,A A Pharma Inc.,,TETRACYCLINE,,0.07,REIMBURSABLE WITH COPAY,0.07,0.01,Tetracycline 250mg Cap,00580929,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Pfizer Canada Inc.,,TETRACYCLINE,,,NON REIMBURSABLE,,,Tetracyn (Not a Benefit) 250mg Cap,00024422,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,A A Pharma Inc.,,THEOPHYLLINE ANHYDROUS,,0.40,REIMBURSABLE WITH COPAY,0.37,0.03,Theo ER 400mg SR Tab,02360101,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,A A Pharma Inc.,,THEOPHYLLINE ANHYDROUS,,0.49,REIMBURSABLE WITH COPAY,0.45,0.04,Theo ER 600mg SR Tab,02360128,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Elvium Life Sciences,,THEOPHYLLINE ANHYDROUS,,,NON REIMBURSABLE,,,Uniphyl (Not a Benefit) 400mg SR Tab,02014165,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Elvium Life Sciences,,THEOPHYLLINE ANHYDROUS,,,NON REIMBURSABLE,,,Uniphyl (Not a Benefit) 600mg SR Tab,02014181,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Lee-Adams Lab.,,THIAMINE HCL,,,NON REIMBURSABLE,,,Vitamin B1 (Not a Benefit) 50mg Tab,00610267,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Valeant Canada Ltd.,,THIAMINE HCL,,,NON REIMBURSABLE,,,Vitamin B1-ICN (Not a Benefit) 50mg Tab,00268631,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Aspen Pharma Trading Limited,,THIOGUANINE,,6.93,REIMBURSABLE WITH COPAY,6.42,0.51,Lanvis 40mg Tab,00282081,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Genzyme Canada Inc.,,THYROTROPIN ALFA,,2038.41,REIMBURSABLE WITH COPAY,1887.42,150.99,Thyrogen 0.9mg/mL Inj Pd-2x1.1mg Vial Pk,02246016,PACK,NO,NO,NO,CAD,NORTH AMERICA
,,Sanofi Aventis Pharma,,TIAPROFENIC ACID,,,NON REIMBURSABLE,,,Surgam (Not a Benefit) 300mg Tab,02221950,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Hoechst-Roussel Canada Inc.,,TIAPROFENIC ACID,,,NON REIMBURSABLE,,,Surgam (Not a Benefit) 200mg Tab,01989782,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Teva Canada Limited,,TIAPROFENIC ACID,,0.62,REIMBURSABLE WITH COPAY,0.57,0.05,Teva-Tiaprofenic 200mg Tab,02179679,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Teva Canada Limited,,TIAPROFENIC ACID,,0.87,REIMBURSABLE WITH COPAY,0.81,0.06,Teva-Tiaprofenic 300mg Tab,02179687,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Apotex Inc.,,TICAGRELOR,,1.39,REIMBURSABLE WITH COPAY,1.28,0.10,Apo-Ticagrelor (Off-Formulary Interchangeable) 60mg Tab,02482622,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,TICAGRELOR,,0.43,REIMBURSABLE WITH COPAY,0.40,0.03,Apo-Ticagrelor 90mg Tab,02482630,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,AstraZeneca,,TICAGRELOR,,,NON REIMBURSABLE,,,Brilinta (Off-Formulary Interchangeable) 60mg Tab,02455005,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,AstraZeneca,,TICAGRELOR,,1.93,REIMBURSABLE WITH COPAY,0.40,1.53,Brilinta 90mg Tab,02368544,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,TICAGRELOR,,1.39,REIMBURSABLE WITH COPAY,1.28,0.10,Jamp Ticagrelor (Off-Formulary Interchangeable) 60mg Tab,02531798,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,TICAGRELOR,,0.43,REIMBURSABLE WITH COPAY,0.40,0.03,Jamp Ticagrelor 90mg Tab,02531801,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Mantra Pharma Inc.,,TICAGRELOR,,1.39,REIMBURSABLE WITH COPAY,1.28,0.10,M-Ticagrelor (Off-Formulary Interchangeable) 60mg Tab,02529750,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mantra Pharma Inc.,,TICAGRELOR,,0.43,REIMBURSABLE WITH COPAY,0.40,0.03,M-Ticagrelor 90mg Tab,02529769,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Taro Pharmaceuticals Inc.,,TICAGRELOR,,1.39,REIMBURSABLE WITH COPAY,1.28,0.10,Taro-Ticagrelor (Off-Formulary Interchangeable) 60mg Tab,02492571,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Taro Pharmaceuticals Inc.,,TICAGRELOR,,0.43,REIMBURSABLE WITH COPAY,0.40,0.03,Taro-Ticagrelor 90mg Tab,02492598,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Hoffmann-La Roche Limited,,TICLOPIDINE HCL,,,NON REIMBURSABLE,,,Ticlid (Not a Benefit) 250mg Tab,02162776,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,A A Pharma Inc.,,TICLOPIDINE HCL,,1.15,REIMBURSABLE WITH COPAY,1.07,0.09,Ticlopidine 250mg Tab,02237701,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Pfizer Canada Inc.,,TIGECYCLINE,,90.15,REIMBURSABLE WITH COPAY,83.47,6.68,Tygacil 50mg/Vial Pd for Inj-5mLVial Pk (Preservative-Free),02285401,PACK,NO,NO,NO,CAD,NORTH AMERICA
,,Sun Pharma,,TILDRAKIZUMAB,,5329.80,REIMBURSABLE WITH COPAY,4935.00,394.80,Ilumya 100mg/mL Inj Sol-1mL Pref Syr (Preservative-Free),02516098,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Alcon Canada Inc.,,TIMOLOL MALEATE,,3.19,REIMBURSABLE WITH COPAY,2.95,0.24,Timolol Maleate-EX 0.25% Oph Gellan Sol,02242275,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Alcon Canada Inc.,,TIMOLOL MALEATE,,3.81,REIMBURSABLE WITH COPAY,3.53,0.28,Timolol Maleate-EX 0.5% Oph Gellan Sol,02242276,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Elvium Life Sciences,,TIMOLOL MALEATE,,9.85,REIMBURSABLE WITH COPAY,3.53,6.32,Timoptic-XE 0.5% Oph Gellan Sol,02171899,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Purdue Pharma,,TIMOLOL MALEATE,,,NON REIMBURSABLE,,,Timoptic-XE (Not a Benefit) 0.25% Oph Gellan Sol,02171880,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Apotex Inc.,,TIMOLOL MALEATE,,1.31,REIMBURSABLE WITH COPAY,1.21,0.10,Apo-Timop 0.5% Oph Sol,00755834,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,TIMOLOL MALEATE,,1.31,REIMBURSABLE WITH COPAY,1.21,0.10,Jamp-Timolol 0.5% Oph Sol,02447800,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,TIMOLOL MALEATE,,1.31,REIMBURSABLE WITH COPAY,1.21,0.10,Sandoz Timolol 0.5% Oph Sol,02166720,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Sandoz Canada Inc.,,TIMOLOL MALEATE,,2.54,REIMBURSABLE WITH COPAY,2.35,0.19,Sandoz Timolol 0.25% Oph Sol,02166712,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Elvium Life Sciences,,TIMOLOL MALEATE,,7.71,REIMBURSABLE WITH COPAY,1.21,6.50,Timoptic 0.5% Oph Sol,00451207,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,Merck Frosst Canada Ltd.,,TIMOLOL MALEATE,,,NON REIMBURSABLE,,,Timoptic (Not a Benefit) 0.25% Oph Sol,00451193,UNIT,YES,NO,YES,CAD,NORTH AMERICA
,,"Merck Frosst Canada & Cie, Merck Frosst Canada & Co.",,TIMOLOL MALEATE,,,NON REIMBURSABLE,,,Blocadren (Not a Benefit) 10mg Tab,00353922,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,"Merck Frosst Canada & Cie, Merck Frosst Canada & Co.",,TIMOLOL MALEATE,,,NON REIMBURSABLE,,,Blocadren (Not a Benefit) 5mg Tab,00353914,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,"Merck Frosst Canada & Cie, Merck Frosst Canada & Co.",,TIMOLOL MALEATE,,,NON REIMBURSABLE,,,Blocadren (Not a Benefit) 20mg Tab,00495611,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,A A Pharma Inc.,,TIMOLOL MALEATE,,0.68,REIMBURSABLE WITH COPAY,0.63,0.05,Timolol 20mg Tab,00755869,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,A A Pharma Inc.,,TIMOLOL MALEATE,,0.35,REIMBURSABLE WITH COPAY,0.32,0.03,Timolol 10mg Tab,00755850,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,A A Pharma Inc.,,TIMOLOL MALEATE,,0.22,REIMBURSABLE WITH COPAY,0.21,0.02,Timolol 5mg Tab,00755842,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,TIMOLOL MALEATE & TRAVOPROST,,9.55,REIMBURSABLE WITH COPAY,8.84,0.71,Apo-Travoprost-Timop 0.5% & 0.004% Oph Sol,02415305,UNIT,YES,YES,NO,CAD,NORTH AMERICA
,,Alcon Canada Inc.,,TIMOLOL MALEATE & TRAVOPROST,,,NON REIMBURSABLE,,,DuoTrav (Not a Benefit) 0.5% & 0.004% Oph Sol,02278251,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,TIMOLOL MALEATE & TRAVOPROST,,47.75,REIMBURSABLE WITH COPAY,44.21,3.54,Apo-Travoprost-Timop PQ 0.5% & 0.004% Oph Sol-5mL Pk,09857644,PACK,YES,YES,YES,CAD,NORTH AMERICA
,,Novartis Pharma Canada Inc.,,TIMOLOL MALEATE & TRAVOPROST,,61.24,REIMBURSABLE WITH COPAY,44.21,17.02,DuoTrav PQ 0.5% & 0.004% Oph Sol-5mL Pk,09857513,PACK,YES,YES,YES,CAD,NORTH AMERICA
,,Leo Pharma Inc.,,TINZAPARIN SODIUM,,32.18,REIMBURSABLE WITH COPAY,29.79,2.38,Innohep 10000IU/0.5mL Inj Pref Syr,02231478,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Leo Pharma Inc.,,TINZAPARIN SODIUM,,45.09,REIMBURSABLE WITH COPAY,41.75,3.34,Innohep 14000IU/0.7mL Inj Pref Syr,02358174,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Leo Pharma Inc.,,TINZAPARIN SODIUM,,11.03,REIMBURSABLE WITH COPAY,10.22,0.82,Innohep 3500IU/0.35mL Inj Pref Syr,02358158,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Leo Pharma Inc.,,TINZAPARIN SODIUM,,51.53,REIMBURSABLE WITH COPAY,47.72,3.82,Innohep 16000IU/0.8mL Inj Pref Syr,02429489,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Leo Pharma Inc.,,TINZAPARIN SODIUM,,38.65,REIMBURSABLE WITH COPAY,35.79,2.86,Innohep 12000IU/0.6mL Inj Pref Syr,02429470,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Leo Pharma Inc.,,TINZAPARIN SODIUM,,24.54,REIMBURSABLE WITH COPAY,22.72,1.82,Innohep 8000IU/0.4mL Inj Pref Syr,02429462,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Leo Pharma Inc.,,TINZAPARIN SODIUM,,7.89,REIMBURSABLE WITH COPAY,7.30,0.58,Innohep 2500IU/0.25mL Inj Pref Syr,09857367,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Leo Pharma Inc.,,TINZAPARIN SODIUM,,14.19,REIMBURSABLE WITH COPAY,13.14,1.05,Innohep 4500IU/0.45mL Inj Pref Syr,02358166,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Leo Pharma Inc.,,TINZAPARIN SODIUM,,57.97,REIMBURSABLE WITH COPAY,53.67,4.29,Innohep 18000IU/0.9mL Inj Pref Syr,02358182,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Leo Pharma Inc.,,TINZAPARIN SODIUM,,59.56,REIMBURSABLE WITH COPAY,55.15,4.41,Innohep 10000IU/mL Inj-2mL Pk,02167840,PACK,NO,YES,NO,CAD,NORTH AMERICA
,,Leo Pharma Inc.,,TINZAPARIN SODIUM,,127.03,REIMBURSABLE WITH COPAY,117.62,9.41,Innohep 20000IU/mL Inj-2mL Pk,02229515,PACK,NO,YES,NO,CAD,NORTH AMERICA
